,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0.903,0.938,0.864,1.0,0.962,0.992,0.985,0.909,0.924,0.924,0.944,0.931,0.955,0.886,0.894,0.894,0.985,0.97,0.985,0.985,0.958,0.979,0.97,0.765,0.955,0.917,0.977,0.947,0.947,0.924,0.965,0.951,0.939,0.985,0.962,0.985,0.879,0.848,0.909,0.879,0.764,0.993,0.985,0.879,0.962,0.97,0.947,0.977,0.909,0.932,0.951,0.958,0.932,0.902,0.924,0.841,0.977,0.977,0.977,0.818,0.868,0.896,0.924,0.97,1.0,0.962,1.0,0.989,0.879,0.985,0.91,0.979,0.992,0.962,1.0,0.886,0.902,0.886,0.917,0.985,0.861,0.993,0.924,0.939,0.962,0.97,0.962,0.841,0.924,0.902,0.972,0.944,0.939,0.879,0.977,1.0,0.864,0.962,0.742,0.939
ACC,0.875,0.917,0.739,0.87,0.913,0.913,0.87,0.826,0.826,0.826,0.833,0.833,0.87,0.783,0.826,0.826,0.913,0.913,0.87,0.957,0.875,0.917,0.87,0.696,0.87,0.87,0.87,0.913,0.826,0.87,0.917,0.875,0.826,0.913,0.913,0.957,0.87,0.739,0.826,0.826,0.792,0.958,0.957,0.739,0.87,0.87,0.87,0.87,0.826,0.826,0.833,0.833,0.87,0.826,0.913,0.696,0.913,0.87,0.913,0.826,0.75,0.792,0.783,0.826,0.957,0.826,0.913,0.913,0.87,0.826,0.833,0.875,0.957,0.913,0.957,0.696,0.87,0.826,0.826,0.87,0.75,0.958,0.826,0.783,0.87,0.913,0.913,0.739,0.783,0.913,0.875,0.958,0.783,0.783,0.913,1.0,0.739,0.826,0.739,0.87
MCC,0.775,0.845,0.516,0.768,0.837,0.826,0.742,0.691,0.652,0.652,0.667,0.667,0.74,0.589,0.652,0.664,0.826,0.826,0.742,0.916,0.753,0.845,0.74,0.397,0.768,0.768,0.74,0.826,0.652,0.742,0.845,0.753,0.652,0.826,0.84,0.917,0.763,0.481,0.664,0.659,0.585,0.92,0.916,0.477,0.742,0.742,0.74,0.742,0.659,0.659,0.707,0.707,0.742,0.652,0.826,0.411,0.826,0.74,0.837,0.652,0.5,0.602,0.565,0.664,0.916,0.659,0.84,0.84,0.74,0.691,0.707,0.753,0.917,0.837,0.917,0.394,0.742,0.659,0.652,0.742,0.577,0.92,0.652,0.58,0.763,0.826,0.826,0.477,0.565,0.84,0.753,0.92,0.58,0.589,0.84,1.0,0.477,0.652,0.477,0.74
Precision,0.9,0.929,0.775,0.898,0.925,0.913,0.873,0.87,0.826,0.826,0.833,0.833,0.872,0.805,0.826,0.837,0.913,0.913,0.873,0.96,0.878,0.929,0.872,0.707,0.898,0.898,0.872,0.913,0.826,0.873,0.929,0.878,0.826,0.913,0.926,0.96,0.896,0.745,0.837,0.835,0.794,0.962,0.96,0.739,0.873,0.873,0.872,0.873,0.835,0.835,0.875,0.875,0.873,0.826,0.913,0.713,0.913,0.872,0.925,0.826,0.75,0.811,0.784,0.837,0.96,0.835,0.926,0.926,0.872,0.87,0.875,0.878,0.96,0.925,0.96,0.698,0.873,0.835,0.826,0.873,0.833,0.962,0.826,0.801,0.896,0.913,0.913,0.739,0.784,0.926,0.878,0.962,0.801,0.805,0.926,1.0,0.739,0.826,0.739,0.872
Recall,0.875,0.917,0.739,0.87,0.913,0.913,0.87,0.826,0.826,0.826,0.833,0.833,0.87,0.783,0.826,0.826,0.913,0.913,0.87,0.957,0.875,0.917,0.87,0.696,0.87,0.87,0.87,0.913,0.826,0.87,0.917,0.875,0.826,0.913,0.913,0.957,0.87,0.739,0.826,0.826,0.792,0.958,0.957,0.739,0.87,0.87,0.87,0.87,0.826,0.826,0.833,0.833,0.87,0.826,0.913,0.696,0.913,0.87,0.913,0.826,0.75,0.792,0.783,0.826,0.957,0.826,0.913,0.913,0.87,0.826,0.833,0.875,0.957,0.913,0.957,0.696,0.87,0.826,0.826,0.87,0.75,0.958,0.826,0.783,0.87,0.913,0.913,0.739,0.783,0.913,0.875,0.958,0.783,0.783,0.913,1.0,0.739,0.826,0.739,0.87
F1,0.873,0.916,0.733,0.868,0.912,0.913,0.87,0.819,0.826,0.826,0.833,0.833,0.869,0.78,0.826,0.825,0.913,0.913,0.87,0.956,0.875,0.916,0.869,0.689,0.868,0.868,0.869,0.913,0.826,0.87,0.916,0.875,0.826,0.913,0.913,0.957,0.867,0.736,0.825,0.824,0.791,0.958,0.956,0.739,0.87,0.87,0.869,0.87,0.824,0.824,0.829,0.829,0.87,0.826,0.913,0.692,0.913,0.869,0.912,0.826,0.75,0.788,0.782,0.825,0.956,0.824,0.913,0.913,0.869,0.819,0.829,0.875,0.957,0.912,0.957,0.696,0.87,0.824,0.826,0.87,0.733,0.958,0.826,0.778,0.867,0.913,0.913,0.739,0.782,0.913,0.875,0.958,0.778,0.78,0.913,1.0,0.739,0.826,0.739,0.869
