,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0.986,0.917,0.955,0.894,0.871,0.924,1.0,0.848,1.0,1.0,0.972,0.903,1.0,0.939,0.962,0.932,0.992,0.902,0.939,0.848,0.889,0.958,1.0,0.871,0.985,0.932,0.818,0.985,0.947,0.947,0.889,0.965,1.0,0.977,0.977,0.917,0.765,0.917,0.886,0.985,1.0,0.944,0.955,0.985,0.871,0.841,0.848,0.939,0.871,1.0,1.0,0.937,0.977,0.879,0.803,0.947,0.955,0.985,0.924,0.955,0.896,0.917,0.924,0.955,0.947,0.894,0.917,0.992,0.955,0.962,0.972,0.993,0.924,0.947,0.871,0.871,1.0,0.924,0.947,0.894,0.972,0.924,0.932,0.992,0.902,1.0,0.985,0.939,0.864,0.871,0.972,0.937,0.917,0.917,0.992,0.932,0.924,0.962,0.977,0.864
ACC,0.958,0.917,0.826,0.826,0.739,0.87,0.913,0.783,1.0,1.0,0.917,0.917,0.957,0.87,0.913,0.826,0.957,0.87,0.913,0.696,0.792,0.917,0.957,0.826,0.957,0.826,0.783,0.87,0.913,0.87,0.833,0.958,1.0,0.87,0.913,0.913,0.565,0.783,0.826,0.913,0.958,0.917,0.87,0.913,0.913,0.652,0.783,0.826,0.826,1.0,0.958,0.875,0.957,0.87,0.652,0.826,0.913,0.957,0.913,0.826,0.875,0.875,0.913,0.87,0.826,0.826,0.826,0.913,0.913,0.913,0.792,0.958,0.783,0.913,0.783,0.87,1.0,0.826,0.913,0.826,0.875,0.875,0.826,0.826,0.826,0.957,0.913,0.826,0.87,0.739,0.833,0.875,0.739,0.87,0.913,0.783,0.913,0.783,0.826,0.913
MCC,0.92,0.833,0.699,0.664,0.502,0.742,0.84,0.589,1.0,1.0,0.833,0.833,0.916,0.742,0.837,0.699,0.917,0.768,0.837,0.394,0.585,0.845,0.916,0.652,0.917,0.664,0.568,0.74,0.837,0.763,0.667,0.92,1.0,0.768,0.84,0.84,0.124,0.589,0.652,0.826,0.92,0.833,0.742,0.84,0.826,0.313,0.568,0.664,0.652,1.0,0.92,0.775,0.917,0.768,0.371,0.659,0.84,0.916,0.826,0.664,0.753,0.753,0.84,0.768,0.652,0.652,0.652,0.84,0.837,0.826,0.642,0.92,0.568,0.84,0.565,0.74,1.0,0.659,0.837,0.659,0.753,0.753,0.652,0.699,0.652,0.916,0.84,0.659,0.74,0.502,0.676,0.753,0.477,0.768,0.84,0.568,0.826,0.58,0.659,0.826
Precision,0.962,0.917,0.872,0.837,0.769,0.873,0.926,0.805,1.0,1.0,0.917,0.917,0.96,0.873,0.925,0.872,0.96,0.898,0.925,0.698,0.794,0.929,0.96,0.826,0.96,0.837,0.786,0.872,0.925,0.896,0.833,0.962,1.0,0.898,0.926,0.926,0.564,0.805,0.826,0.913,0.962,0.917,0.873,0.926,0.913,0.66,0.786,0.837,0.826,1.0,0.962,0.9,0.96,0.898,0.716,0.835,0.926,0.96,0.913,0.837,0.878,0.878,0.926,0.898,0.826,0.826,0.826,0.926,0.925,0.913,0.853,0.962,0.786,0.926,0.784,0.872,1.0,0.835,0.925,0.835,0.878,0.878,0.826,0.872,0.826,0.96,0.926,0.835,0.872,0.769,0.843,0.878,0.739,0.898,0.926,0.786,0.913,0.801,0.835,0.913
Recall,0.958,0.917,0.826,0.826,0.739,0.87,0.913,0.783,1.0,1.0,0.917,0.917,0.957,0.87,0.913,0.826,0.957,0.87,0.913,0.696,0.792,0.917,0.957,0.826,0.957,0.826,0.783,0.87,0.913,0.87,0.833,0.958,1.0,0.87,0.913,0.913,0.565,0.783,0.826,0.913,0.958,0.917,0.87,0.913,0.913,0.652,0.783,0.826,0.826,1.0,0.958,0.875,0.957,0.87,0.652,0.826,0.913,0.957,0.913,0.826,0.875,0.875,0.913,0.87,0.826,0.826,0.826,0.913,0.913,0.913,0.792,0.958,0.783,0.913,0.783,0.87,1.0,0.826,0.913,0.826,0.875,0.875,0.826,0.826,0.826,0.957,0.913,0.826,0.87,0.739,0.833,0.875,0.739,0.87,0.913,0.783,0.913,0.783,0.826,0.913
F1,0.958,0.917,0.822,0.825,0.729,0.87,0.913,0.78,1.0,1.0,0.917,0.917,0.956,0.87,0.912,0.822,0.957,0.868,0.912,0.696,0.791,0.916,0.956,0.826,0.957,0.825,0.783,0.869,0.912,0.867,0.833,0.958,1.0,0.868,0.913,0.913,0.56,0.78,0.826,0.913,0.958,0.917,0.87,0.913,0.913,0.651,0.783,0.825,0.826,1.0,0.958,0.873,0.957,0.868,0.631,0.824,0.913,0.956,0.913,0.825,0.875,0.875,0.913,0.868,0.826,0.826,0.826,0.913,0.912,0.913,0.782,0.958,0.783,0.913,0.782,0.869,1.0,0.824,0.912,0.824,0.875,0.875,0.826,0.822,0.826,0.956,0.913,0.824,0.869,0.729,0.832,0.875,0.739,0.868,0.913,0.783,0.913,0.778,0.824,0.913
