,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0.903,0.903,0.924,0.871,0.886,0.947,1.0,0.879,1.0,1.0,0.965,0.924,0.97,0.939,0.939,0.833,0.939,0.955,0.985,0.803,0.938,0.903,0.985,0.886,0.977,0.894,0.773,1.0,0.962,0.864,0.882,0.861,0.977,0.917,1.0,0.894,0.871,0.924,0.886,0.985,0.993,0.944,0.962,0.932,0.879,0.879,0.955,0.879,0.886,0.992,0.986,0.958,0.992,0.924,0.826,0.947,0.955,0.992,0.871,0.886,0.917,0.826,0.924,0.939,0.909,0.97,0.97,0.902,0.894,0.985,0.951,0.951,0.917,0.97,0.932,0.894,0.947,0.939,0.902,0.939,0.979,0.951,0.962,0.894,0.909,0.992,0.977,0.924,0.924,0.886,0.979,0.951,0.909,0.917,0.947,0.826,0.977,0.902,1.0,0.886
ACC,0.917,0.833,0.826,0.87,0.739,0.826,1.0,0.783,0.957,1.0,0.875,0.833,0.957,0.826,0.957,0.783,0.826,0.826,0.87,0.739,0.833,0.917,0.957,0.826,0.826,0.783,0.783,0.957,0.913,0.87,0.792,0.792,0.957,0.913,0.913,0.913,0.696,0.826,0.87,0.957,0.958,0.833,0.957,0.87,0.826,0.826,0.826,0.826,0.826,0.957,0.958,0.875,0.957,0.783,0.739,0.87,0.913,0.957,0.783,0.87,0.875,0.75,0.87,0.913,0.783,0.826,0.913,0.696,0.783,0.957,0.792,0.875,0.826,0.913,0.87,0.913,0.913,0.87,0.913,0.783,0.833,0.833,0.87,0.826,0.826,0.957,0.87,0.87,0.87,0.826,0.875,0.917,0.783,0.783,0.913,0.826,0.826,0.783,0.826,0.826
MCC,0.845,0.676,0.699,0.768,0.481,0.664,1.0,0.589,0.917,1.0,0.753,0.676,0.917,0.664,0.916,0.633,0.699,0.699,0.74,0.477,0.676,0.845,0.917,0.664,0.664,0.589,0.568,0.917,0.826,0.763,0.585,0.585,0.917,0.84,0.84,0.84,0.411,0.652,0.763,0.916,0.92,0.676,0.916,0.768,0.652,0.664,0.652,0.699,0.659,0.916,0.92,0.775,0.917,0.589,0.516,0.742,0.826,0.917,0.58,0.742,0.753,0.507,0.742,0.84,0.568,0.652,0.84,0.394,0.58,0.916,0.602,0.775,0.652,0.84,0.74,0.826,0.84,0.742,0.837,0.58,0.707,0.676,0.742,0.699,0.664,0.917,0.768,0.74,0.74,0.691,0.775,0.833,0.568,0.633,0.84,0.699,0.659,0.565,0.691,0.652
Precision,0.929,0.843,0.872,0.898,0.745,0.837,1.0,0.805,0.96,1.0,0.878,0.843,0.96,0.837,0.96,0.851,0.872,0.872,0.872,0.739,0.843,0.929,0.96,0.837,0.837,0.805,0.786,0.96,0.913,0.896,0.794,0.794,0.96,0.926,0.926,0.926,0.713,0.826,0.896,0.96,0.962,0.843,0.96,0.898,0.826,0.837,0.826,0.872,0.835,0.96,0.962,0.9,0.96,0.805,0.775,0.873,0.913,0.96,0.801,0.873,0.878,0.757,0.873,0.926,0.786,0.826,0.926,0.698,0.801,0.96,0.811,0.9,0.826,0.926,0.872,0.913,0.926,0.873,0.925,0.801,0.875,0.843,0.873,0.872,0.837,0.96,0.898,0.872,0.872,0.87,0.9,0.917,0.786,0.851,0.926,0.872,0.835,0.784,0.87,0.826
Recall,0.917,0.833,0.826,0.87,0.739,0.826,1.0,0.783,0.957,1.0,0.875,0.833,0.957,0.826,0.957,0.783,0.826,0.826,0.87,0.739,0.833,0.917,0.957,0.826,0.826,0.783,0.783,0.957,0.913,0.87,0.792,0.792,0.957,0.913,0.913,0.913,0.696,0.826,0.87,0.957,0.958,0.833,0.957,0.87,0.826,0.826,0.826,0.826,0.826,0.957,0.958,0.875,0.957,0.783,0.739,0.87,0.913,0.957,0.783,0.87,0.875,0.75,0.87,0.913,0.783,0.826,0.913,0.696,0.783,0.957,0.792,0.875,0.826,0.913,0.87,0.913,0.913,0.87,0.913,0.783,0.833,0.833,0.87,0.826,0.826,0.957,0.87,0.87,0.87,0.826,0.875,0.917,0.783,0.783,0.913,0.826,0.826,0.783,0.826,0.826
F1,0.916,0.832,0.822,0.868,0.736,0.825,1.0,0.78,0.957,1.0,0.875,0.832,0.957,0.825,0.956,0.774,0.822,0.822,0.869,0.739,0.832,0.916,0.957,0.825,0.825,0.78,0.783,0.957,0.913,0.867,0.791,0.791,0.957,0.913,0.913,0.913,0.692,0.826,0.867,0.956,0.958,0.832,0.956,0.868,0.826,0.825,0.826,0.822,0.824,0.956,0.958,0.873,0.957,0.78,0.733,0.87,0.913,0.957,0.778,0.87,0.875,0.748,0.87,0.913,0.783,0.826,0.913,0.696,0.778,0.956,0.788,0.873,0.826,0.913,0.869,0.913,0.913,0.87,0.912,0.778,0.829,0.832,0.87,0.822,0.825,0.957,0.868,0.869,0.869,0.819,0.873,0.917,0.783,0.774,0.913,0.822,0.824,0.782,0.819,0.826
