,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0.722,0.931,0.917,0.902,0.902,0.902,0.811,0.947,0.947,0.856,0.764,0.938,0.886,0.818,0.955,0.856,0.886,0.803,0.917,0.985,0.875,0.847,0.992,0.894,0.902,0.78,0.886,0.902,0.932,0.932,0.903,0.938,0.924,0.864,0.97,0.811,0.758,0.841,0.924,0.856,0.875,0.903,0.947,0.871,0.955,0.758,0.894,0.841,0.864,0.848,0.965,0.833,0.864,0.985,0.97,0.742,0.894,0.773,0.879,0.947,0.889,0.833,1.0,0.902,0.75,0.848,0.826,0.917,0.833,0.917,0.882,0.924,0.947,0.924,0.97,0.894,0.78,0.765,0.894,0.773,0.854,0.826,0.992,0.932,0.864,1.0,0.909,0.795,0.811,0.955,0.778,0.917,0.841,0.886,0.788,0.962,0.924,0.886,0.833,0.977
ACC,0.625,0.875,0.87,0.87,0.87,0.783,0.609,0.87,0.826,0.826,0.625,0.875,0.739,0.696,0.87,0.826,0.87,0.696,0.913,0.826,0.833,0.75,0.913,0.826,0.826,0.652,0.783,0.87,0.826,0.696,0.75,0.75,0.913,0.739,0.87,0.652,0.739,0.696,0.87,0.739,0.708,0.792,0.87,0.783,0.87,0.652,0.87,0.739,0.826,0.826,0.792,0.708,0.739,0.913,0.957,0.696,0.783,0.652,0.739,0.826,0.708,0.75,0.913,0.783,0.739,0.696,0.696,0.696,0.783,0.826,0.792,0.875,0.87,0.826,0.87,0.826,0.652,0.696,0.783,0.783,0.708,0.625,0.87,0.913,0.696,0.913,0.87,0.652,0.652,0.826,0.708,0.792,0.783,0.783,0.739,0.87,0.826,0.826,0.87,0.913
MCC,0.251,0.753,0.768,0.768,0.768,0.565,0.233,0.74,0.652,0.652,0.251,0.753,0.516,0.397,0.742,0.664,0.742,0.394,0.826,0.691,0.676,0.53,0.826,0.652,0.652,0.371,0.589,0.763,0.652,0.444,0.53,0.53,0.826,0.489,0.742,0.313,0.569,0.389,0.74,0.477,0.43,0.585,0.742,0.589,0.768,0.303,0.74,0.477,0.659,0.659,0.602,0.418,0.489,0.84,0.917,0.397,0.633,0.371,0.477,0.659,0.418,0.577,0.84,0.565,0.516,0.389,0.411,0.411,0.568,0.652,0.602,0.753,0.742,0.664,0.74,0.652,0.313,0.411,0.58,0.621,0.43,0.275,0.768,0.826,0.394,0.84,0.74,0.334,0.302,0.652,0.418,0.585,0.565,0.589,0.489,0.742,0.664,0.664,0.74,0.837
Precision,0.626,0.878,0.898,0.898,0.898,0.784,0.621,0.872,0.826,0.826,0.626,0.878,0.775,0.707,0.873,0.837,0.873,0.698,0.913,0.87,0.843,0.781,0.913,0.826,0.826,0.716,0.805,0.896,0.826,0.746,0.781,0.781,0.913,0.748,0.873,0.66,0.831,0.696,0.872,0.739,0.722,0.794,0.873,0.805,0.898,0.652,0.872,0.739,0.835,0.835,0.811,0.71,0.748,0.926,0.96,0.707,0.851,0.716,0.739,0.835,0.71,0.833,0.926,0.784,0.775,0.696,0.713,0.713,0.786,0.826,0.811,0.878,0.873,0.837,0.872,0.826,0.668,0.713,0.801,0.847,0.722,0.651,0.898,0.913,0.698,0.926,0.872,0.678,0.654,0.826,0.71,0.794,0.784,0.805,0.748,0.873,0.837,0.837,0.872,0.925
Recall,0.625,0.875,0.87,0.87,0.87,0.783,0.609,0.87,0.826,0.826,0.625,0.875,0.739,0.696,0.87,0.826,0.87,0.696,0.913,0.826,0.833,0.75,0.913,0.826,0.826,0.652,0.783,0.87,0.826,0.696,0.75,0.75,0.913,0.739,0.87,0.652,0.739,0.696,0.87,0.739,0.708,0.792,0.87,0.783,0.87,0.652,0.87,0.739,0.826,0.826,0.792,0.708,0.739,0.913,0.957,0.696,0.783,0.652,0.739,0.826,0.708,0.75,0.913,0.783,0.739,0.696,0.696,0.696,0.783,0.826,0.792,0.875,0.87,0.826,0.87,0.826,0.652,0.696,0.783,0.783,0.708,0.625,0.87,0.913,0.696,0.913,0.87,0.652,0.652,0.826,0.708,0.792,0.783,0.783,0.739,0.87,0.826,0.826,0.87,0.913
F1,0.624,0.875,0.868,0.868,0.868,0.782,0.604,0.869,0.826,0.826,0.624,0.875,0.733,0.689,0.87,0.825,0.87,0.696,0.913,0.819,0.832,0.743,0.913,0.826,0.826,0.631,0.78,0.867,0.826,0.684,0.743,0.743,0.913,0.738,0.87,0.651,0.724,0.694,0.869,0.739,0.704,0.791,0.87,0.78,0.868,0.652,0.869,0.739,0.824,0.824,0.788,0.708,0.738,0.913,0.957,0.689,0.774,0.631,0.739,0.824,0.708,0.733,0.913,0.782,0.733,0.694,0.692,0.692,0.783,0.826,0.788,0.875,0.87,0.825,0.869,0.826,0.638,0.692,0.778,0.769,0.704,0.608,0.868,0.913,0.696,0.913,0.869,0.644,0.648,0.826,0.708,0.791,0.782,0.78,0.738,0.87,0.825,0.825,0.869,0.912
