,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0.972,0.986,0.955,1.0,0.909,0.985,0.864,0.955,1.0,0.856,0.868,0.958,0.992,1.0,0.818,0.932,0.955,0.917,0.985,0.985,0.951,0.972,0.992,0.841,0.962,0.924,0.864,0.894,1.0,0.924,0.986,0.861,0.947,0.917,0.902,0.985,0.992,0.985,0.992,0.947,0.91,0.951,0.955,0.909,0.864,0.894,1.0,0.902,0.985,0.977,0.924,0.785,0.939,0.97,0.902,0.992,0.977,1.0,0.992,0.977,0.965,0.931,1.0,0.977,0.939,0.848,0.962,0.841,0.977,0.909,0.944,0.896,0.947,0.947,0.924,0.955,0.886,0.977,0.985,1.0,0.944,0.972,1.0,0.962,0.977,0.932,0.803,0.894,0.992,0.985,0.986,0.951,0.932,1.0,0.894,0.924,0.955,0.879,0.962,0.977
ACC,0.875,0.917,0.826,0.957,0.913,0.87,0.696,0.957,0.957,0.783,0.833,0.833,0.913,1.0,0.739,0.826,0.913,0.826,0.913,0.87,0.833,0.875,0.913,0.783,0.957,0.826,0.783,0.783,1.0,0.826,0.917,0.792,0.783,0.957,0.826,0.87,0.957,0.913,0.87,0.783,0.917,0.875,0.913,0.696,0.739,0.913,0.957,0.87,0.913,0.87,0.792,0.792,0.87,0.913,0.826,0.87,0.87,0.957,0.957,0.913,0.875,0.917,0.957,0.87,0.826,0.783,0.87,0.826,0.913,0.783,0.875,0.833,0.87,0.826,0.87,0.826,0.826,0.913,0.87,0.957,0.875,0.875,0.957,0.87,0.87,0.826,0.826,0.87,0.957,0.957,0.917,0.875,0.913,0.957,0.913,0.783,0.913,0.739,0.87,0.913
MCC,0.753,0.833,0.652,0.916,0.826,0.742,0.394,0.917,0.917,0.565,0.676,0.707,0.826,1.0,0.569,0.652,0.826,0.652,0.826,0.74,0.676,0.775,0.837,0.565,0.916,0.664,0.589,0.589,1.0,0.652,0.845,0.642,0.589,0.917,0.652,0.768,0.916,0.826,0.768,0.568,0.845,0.753,0.826,0.389,0.489,0.826,0.917,0.742,0.826,0.763,0.602,0.602,0.74,0.826,0.659,0.763,0.742,0.916,0.917,0.826,0.753,0.833,0.916,0.742,0.699,0.565,0.742,0.664,0.84,0.565,0.753,0.676,0.74,0.664,0.742,0.652,0.664,0.826,0.768,0.917,0.753,0.753,0.916,0.742,0.742,0.652,0.664,0.742,0.917,0.917,0.833,0.753,0.826,0.916,0.826,0.633,0.826,0.569,0.74,0.837
Precision,0.878,0.917,0.826,0.96,0.913,0.873,0.698,0.96,0.96,0.784,0.843,0.875,0.913,1.0,0.831,0.826,0.913,0.826,0.913,0.872,0.843,0.9,0.925,0.784,0.96,0.837,0.805,0.805,1.0,0.826,0.929,0.853,0.805,0.96,0.826,0.898,0.96,0.913,0.898,0.786,0.929,0.878,0.913,0.696,0.748,0.913,0.96,0.873,0.913,0.896,0.811,0.811,0.872,0.913,0.835,0.896,0.873,0.96,0.96,0.913,0.878,0.917,0.96,0.873,0.872,0.784,0.873,0.837,0.926,0.784,0.878,0.843,0.872,0.837,0.873,0.826,0.837,0.913,0.898,0.96,0.878,0.878,0.96,0.873,0.873,0.826,0.837,0.873,0.96,0.96,0.917,0.878,0.913,0.96,0.913,0.851,0.913,0.831,0.872,0.925
Recall,0.875,0.917,0.826,0.957,0.913,0.87,0.696,0.957,0.957,0.783,0.833,0.833,0.913,1.0,0.739,0.826,0.913,0.826,0.913,0.87,0.833,0.875,0.913,0.783,0.957,0.826,0.783,0.783,1.0,0.826,0.917,0.792,0.783,0.957,0.826,0.87,0.957,0.913,0.87,0.783,0.917,0.875,0.913,0.696,0.739,0.913,0.957,0.87,0.913,0.87,0.792,0.792,0.87,0.913,0.826,0.87,0.87,0.957,0.957,0.913,0.875,0.917,0.957,0.87,0.826,0.783,0.87,0.826,0.913,0.783,0.875,0.833,0.87,0.826,0.87,0.826,0.826,0.913,0.87,0.957,0.875,0.875,0.957,0.87,0.87,0.826,0.826,0.87,0.957,0.957,0.917,0.875,0.913,0.957,0.913,0.783,0.913,0.739,0.87,0.913
F1,0.875,0.917,0.826,0.956,0.913,0.87,0.696,0.957,0.957,0.782,0.832,0.829,0.913,1.0,0.724,0.826,0.913,0.826,0.913,0.869,0.832,0.873,0.912,0.782,0.956,0.825,0.78,0.78,1.0,0.826,0.916,0.782,0.78,0.957,0.826,0.868,0.956,0.913,0.868,0.783,0.916,0.875,0.913,0.694,0.738,0.913,0.957,0.87,0.913,0.867,0.788,0.788,0.869,0.913,0.824,0.867,0.87,0.956,0.957,0.913,0.875,0.917,0.956,0.87,0.822,0.782,0.87,0.825,0.913,0.782,0.875,0.832,0.869,0.825,0.87,0.826,0.825,0.913,0.868,0.957,0.875,0.875,0.956,0.87,0.87,0.826,0.825,0.87,0.957,0.957,0.917,0.875,0.913,0.956,0.913,0.774,0.913,0.724,0.869,0.912
