,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0.813,0.917,0.977,0.932,0.833,0.97,1.0,0.833,0.992,0.962,0.951,0.729,0.932,0.992,0.947,0.939,0.939,0.894,0.955,0.894,0.972,0.931,1.0,0.864,0.879,0.826,0.932,0.917,1.0,0.924,0.799,0.882,0.985,0.909,1.0,0.947,0.97,0.955,0.826,0.909,0.951,0.917,0.939,0.924,0.932,0.909,0.939,0.932,0.909,0.902,0.903,0.889,0.97,0.886,0.977,0.992,0.848,0.894,1.0,0.932,0.903,0.882,0.773,1.0,0.985,0.97,1.0,0.833,0.939,0.962,0.681,1.0,0.955,0.841,1.0,0.917,0.962,1.0,0.871,0.985,0.882,0.91,0.894,0.818,0.902,1.0,0.985,0.947,0.879,0.97,0.861,0.917,0.917,0.848,0.939,0.985,0.939,0.894,0.985,0.924
ACC,0.792,0.875,0.826,0.87,0.783,0.913,0.957,0.826,0.957,0.826,0.792,0.708,0.783,0.957,0.913,0.87,0.826,0.87,0.913,0.87,0.833,0.958,0.957,0.826,0.783,0.783,0.826,0.913,0.913,0.739,0.75,0.875,0.913,0.783,1.0,0.913,0.913,0.826,0.696,0.826,0.958,0.833,0.87,0.783,0.87,0.87,0.826,0.826,0.826,0.783,0.917,0.875,0.826,0.913,0.957,0.913,0.652,0.783,0.826,0.87,0.833,0.833,0.783,1.0,0.957,0.87,0.957,0.783,0.826,0.87,0.667,1.0,0.826,0.739,0.957,0.783,0.783,1.0,0.87,0.87,0.833,0.875,0.783,0.783,0.783,1.0,0.87,0.87,0.783,0.87,0.875,0.833,0.826,0.87,0.87,0.87,0.87,0.783,0.913,0.913
MCC,0.602,0.753,0.659,0.742,0.568,0.84,0.916,0.664,0.917,0.699,0.602,0.418,0.568,0.916,0.826,0.768,0.652,0.768,0.84,0.742,0.667,0.92,0.916,0.691,0.589,0.568,0.664,0.826,0.84,0.516,0.53,0.753,0.826,0.565,1.0,0.84,0.84,0.664,0.411,0.664,0.92,0.676,0.742,0.565,0.74,0.768,0.664,0.664,0.664,0.589,0.845,0.753,0.691,0.837,0.917,0.826,0.313,0.589,0.691,0.768,0.707,0.676,0.568,1.0,0.916,0.742,0.917,0.589,0.664,0.742,0.338,1.0,0.652,0.502,0.917,0.589,0.589,1.0,0.74,0.74,0.676,0.753,0.568,0.58,0.589,1.0,0.74,0.768,0.633,0.742,0.753,0.707,0.652,0.763,0.742,0.74,0.742,0.589,0.826,0.826
Precision,0.811,0.878,0.835,0.873,0.786,0.926,0.96,0.837,0.96,0.872,0.811,0.71,0.786,0.96,0.913,0.898,0.826,0.898,0.926,0.873,0.833,0.962,0.96,0.87,0.805,0.786,0.837,0.913,0.926,0.775,0.781,0.878,0.913,0.784,1.0,0.926,0.926,0.837,0.713,0.837,0.962,0.843,0.873,0.784,0.872,0.898,0.837,0.837,0.837,0.805,0.929,0.878,0.87,0.925,0.96,0.913,0.66,0.805,0.87,0.898,0.875,0.843,0.786,1.0,0.96,0.873,0.96,0.805,0.837,0.873,0.671,1.0,0.826,0.769,0.96,0.805,0.805,1.0,0.872,0.872,0.843,0.878,0.786,0.801,0.805,1.0,0.872,0.898,0.851,0.873,0.878,0.875,0.826,0.896,0.873,0.872,0.873,0.805,0.913,0.913
Recall,0.792,0.875,0.826,0.87,0.783,0.913,0.957,0.826,0.957,0.826,0.792,0.708,0.783,0.957,0.913,0.87,0.826,0.87,0.913,0.87,0.833,0.958,0.957,0.826,0.783,0.783,0.826,0.913,0.913,0.739,0.75,0.875,0.913,0.783,1.0,0.913,0.913,0.826,0.696,0.826,0.958,0.833,0.87,0.783,0.87,0.87,0.826,0.826,0.826,0.783,0.917,0.875,0.826,0.913,0.957,0.913,0.652,0.783,0.826,0.87,0.833,0.833,0.783,1.0,0.957,0.87,0.957,0.783,0.826,0.87,0.667,1.0,0.826,0.739,0.957,0.783,0.783,1.0,0.87,0.87,0.833,0.875,0.783,0.783,0.783,1.0,0.87,0.87,0.783,0.87,0.875,0.833,0.826,0.87,0.87,0.87,0.87,0.783,0.913,0.913
F1,0.788,0.875,0.824,0.87,0.783,0.913,0.956,0.825,0.957,0.822,0.788,0.708,0.783,0.956,0.913,0.868,0.826,0.868,0.913,0.87,0.833,0.958,0.956,0.819,0.78,0.783,0.825,0.913,0.913,0.733,0.743,0.875,0.913,0.782,1.0,0.913,0.913,0.825,0.692,0.825,0.958,0.832,0.87,0.782,0.869,0.868,0.825,0.825,0.825,0.78,0.916,0.875,0.819,0.912,0.957,0.913,0.651,0.78,0.819,0.868,0.829,0.832,0.783,1.0,0.956,0.87,0.957,0.78,0.825,0.87,0.664,1.0,0.826,0.729,0.957,0.78,0.78,1.0,0.869,0.869,0.832,0.875,0.783,0.778,0.78,1.0,0.869,0.868,0.774,0.87,0.875,0.829,0.826,0.867,0.87,0.869,0.87,0.78,0.913,0.913
