,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0.875,0.889,0.97,0.924,0.985,1.0,0.947,0.924,0.985,1.0,0.979,0.993,1.0,0.909,0.886,0.909,0.947,0.924,0.955,0.947,0.924,0.986,1.0,0.886,0.985,0.886,0.97,1.0,0.977,0.955,1.0,0.958,0.924,0.962,0.962,0.992,0.867,1.0,1.0,0.886,0.757,0.993,0.977,0.992,0.924,0.924,0.977,1.0,0.917,0.947,0.951,0.979,0.955,1.0,0.902,0.841,0.977,0.955,0.992,0.879,0.903,0.993,0.97,0.992,0.977,0.97,0.913,0.992,0.879,0.909,0.903,0.993,0.932,0.951,0.955,0.939,0.924,0.909,0.962,0.985,0.979,0.979,0.985,0.962,0.985,1.0,0.951,0.826,0.917,0.917,0.944,0.917,0.917,0.902,0.977,0.962,0.962,0.977,0.886,0.977
ACC,0.792,0.875,0.87,0.87,0.913,0.913,0.826,0.826,0.913,0.913,0.917,0.958,0.87,0.87,0.826,0.826,0.913,0.826,0.913,0.783,0.875,0.917,1.0,0.87,0.957,0.783,0.87,0.957,0.87,0.826,0.917,0.917,0.826,0.826,0.913,0.957,0.87,0.913,0.913,0.783,0.708,0.958,0.957,0.957,0.826,0.87,0.87,1.0,0.783,0.783,0.875,0.958,0.87,0.913,0.913,0.739,0.87,0.826,0.957,0.913,0.833,0.958,0.87,0.913,0.826,0.957,0.826,0.913,0.783,0.87,0.792,0.958,0.87,0.913,0.826,0.826,0.87,0.957,0.826,0.87,0.917,0.917,0.87,0.826,0.913,0.957,0.826,0.696,0.826,0.87,0.833,0.917,0.957,0.826,0.826,0.913,0.87,0.87,0.826,0.913
MCC,0.585,0.753,0.768,0.768,0.826,0.84,0.652,0.652,0.826,0.837,0.845,0.92,0.768,0.768,0.652,0.664,0.84,0.652,0.826,0.568,0.753,0.845,1.0,0.742,0.916,0.589,0.742,0.917,0.763,0.652,0.845,0.845,0.699,0.659,0.84,0.917,0.74,0.84,0.84,0.565,0.458,0.92,0.916,0.917,0.664,0.742,0.74,1.0,0.568,0.58,0.753,0.92,0.768,0.84,0.826,0.489,0.768,0.659,0.916,0.826,0.676,0.92,0.742,0.826,0.659,0.917,0.699,0.84,0.568,0.763,0.602,0.92,0.768,0.826,0.652,0.664,0.742,0.916,0.652,0.763,0.845,0.833,0.742,0.652,0.826,0.917,0.664,0.411,0.659,0.768,0.667,0.845,0.917,0.664,0.664,0.826,0.742,0.74,0.659,0.837
Precision,0.794,0.878,0.898,0.898,0.913,0.926,0.826,0.826,0.913,0.925,0.929,0.962,0.898,0.898,0.826,0.837,0.926,0.826,0.913,0.786,0.878,0.929,1.0,0.873,0.96,0.805,0.873,0.96,0.896,0.826,0.929,0.929,0.872,0.835,0.926,0.96,0.872,0.926,0.926,0.784,0.752,0.962,0.96,0.96,0.837,0.873,0.872,1.0,0.786,0.801,0.878,0.962,0.898,0.926,0.913,0.748,0.898,0.835,0.96,0.913,0.843,0.962,0.873,0.913,0.835,0.96,0.872,0.926,0.786,0.896,0.811,0.962,0.898,0.913,0.826,0.837,0.873,0.96,0.826,0.896,0.929,0.917,0.873,0.826,0.913,0.96,0.837,0.713,0.835,0.898,0.833,0.929,0.96,0.837,0.837,0.913,0.873,0.872,0.835,0.925
Recall,0.792,0.875,0.87,0.87,0.913,0.913,0.826,0.826,0.913,0.913,0.917,0.958,0.87,0.87,0.826,0.826,0.913,0.826,0.913,0.783,0.875,0.917,1.0,0.87,0.957,0.783,0.87,0.957,0.87,0.826,0.917,0.917,0.826,0.826,0.913,0.957,0.87,0.913,0.913,0.783,0.708,0.958,0.957,0.957,0.826,0.87,0.87,1.0,0.783,0.783,0.875,0.958,0.87,0.913,0.913,0.739,0.87,0.826,0.957,0.913,0.833,0.958,0.87,0.913,0.826,0.957,0.826,0.913,0.783,0.87,0.792,0.958,0.87,0.913,0.826,0.826,0.87,0.957,0.826,0.87,0.917,0.917,0.87,0.826,0.913,0.957,0.826,0.696,0.826,0.87,0.833,0.917,0.957,0.826,0.826,0.913,0.87,0.87,0.826,0.913
F1,0.791,0.875,0.868,0.868,0.913,0.913,0.826,0.826,0.913,0.912,0.916,0.958,0.868,0.868,0.826,0.825,0.913,0.826,0.913,0.783,0.875,0.916,1.0,0.87,0.956,0.78,0.87,0.957,0.867,0.826,0.916,0.916,0.822,0.824,0.913,0.957,0.869,0.913,0.913,0.782,0.695,0.958,0.956,0.957,0.825,0.87,0.869,1.0,0.783,0.778,0.875,0.958,0.868,0.913,0.913,0.738,0.868,0.824,0.956,0.913,0.832,0.958,0.87,0.913,0.824,0.957,0.822,0.913,0.783,0.867,0.788,0.958,0.868,0.913,0.826,0.825,0.87,0.956,0.826,0.867,0.916,0.917,0.87,0.826,0.913,0.957,0.825,0.692,0.824,0.868,0.833,0.916,0.957,0.825,0.825,0.913,0.87,0.869,0.824,0.912
