,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0.819,0.889,0.917,0.97,0.902,0.826,0.924,0.962,0.856,0.879,0.674,0.944,0.955,0.879,0.955,0.894,0.848,0.909,0.894,0.924,0.868,0.979,0.97,0.955,0.856,0.818,1.0,0.833,0.902,0.947,0.931,0.965,0.841,0.917,0.977,0.833,0.833,0.848,0.909,0.894,0.882,0.944,0.924,0.848,0.939,0.765,0.985,0.902,0.871,0.864,0.826,0.958,0.932,0.932,0.992,0.803,0.833,0.848,0.826,0.939,0.944,0.847,0.909,0.917,0.879,0.841,0.947,0.977,0.886,0.939,0.889,0.896,0.871,0.985,0.977,0.848,0.871,0.856,0.856,0.833,0.854,0.743,0.977,0.97,0.932,0.939,0.992,0.833,0.826,0.992,0.861,0.972,0.977,0.864,0.78,0.924,0.788,0.932,0.871,0.985
ACC,0.625,0.833,0.826,0.913,0.826,0.696,0.87,0.826,0.783,0.783,0.667,0.875,0.87,0.783,0.913,0.783,0.783,0.696,0.87,0.826,0.792,0.875,0.87,0.87,0.739,0.783,0.957,0.826,0.783,0.87,0.792,0.833,0.826,0.87,0.87,0.783,0.739,0.826,0.739,0.826,0.792,0.875,0.783,0.739,0.87,0.609,0.87,0.826,0.826,0.87,0.792,0.833,0.87,0.87,0.913,0.783,0.739,0.739,0.696,0.783,0.792,0.792,0.87,0.783,0.826,0.739,0.783,0.957,0.826,0.87,0.75,0.833,0.739,0.913,0.913,0.783,0.783,0.696,0.826,0.739,0.75,0.667,0.957,0.913,0.826,0.913,0.957,0.739,0.783,0.957,0.792,0.917,0.913,0.783,0.609,0.826,0.783,0.826,0.87,0.913
MCC,0.251,0.667,0.664,0.826,0.664,0.397,0.768,0.659,0.568,0.568,0.333,0.775,0.768,0.589,0.837,0.568,0.568,0.394,0.742,0.652,0.602,0.775,0.742,0.763,0.489,0.589,0.917,0.659,0.568,0.74,0.642,0.707,0.652,0.768,0.742,0.565,0.489,0.664,0.516,0.659,0.585,0.753,0.589,0.489,0.74,0.214,0.74,0.659,0.664,0.74,0.602,0.676,0.742,0.74,0.837,0.58,0.489,0.569,0.411,0.565,0.602,0.585,0.742,0.565,0.652,0.489,0.565,0.917,0.664,0.742,0.507,0.667,0.481,0.837,0.837,0.568,0.568,0.389,0.652,0.502,0.507,0.338,0.916,0.826,0.664,0.826,0.916,0.489,0.565,0.917,0.602,0.845,0.826,0.565,0.214,0.652,0.568,0.664,0.74,0.837
Precision,0.626,0.833,0.837,0.913,0.837,0.707,0.898,0.835,0.786,0.786,0.667,0.9,0.898,0.805,0.925,0.786,0.786,0.698,0.873,0.826,0.811,0.9,0.873,0.896,0.748,0.805,0.96,0.835,0.786,0.872,0.853,0.875,0.826,0.898,0.873,0.784,0.748,0.837,0.775,0.835,0.794,0.878,0.805,0.748,0.872,0.608,0.872,0.835,0.837,0.872,0.811,0.843,0.873,0.872,0.925,0.801,0.748,0.831,0.713,0.784,0.811,0.794,0.873,0.784,0.826,0.748,0.784,0.96,0.837,0.873,0.757,0.833,0.745,0.925,0.925,0.786,0.786,0.696,0.826,0.769,0.757,0.671,0.96,0.913,0.837,0.913,0.96,0.748,0.784,0.96,0.811,0.929,0.913,0.784,0.608,0.826,0.786,0.837,0.872,0.925
Recall,0.625,0.833,0.826,0.913,0.826,0.696,0.87,0.826,0.783,0.783,0.667,0.875,0.87,0.783,0.913,0.783,0.783,0.696,0.87,0.826,0.792,0.875,0.87,0.87,0.739,0.783,0.957,0.826,0.783,0.87,0.792,0.833,0.826,0.87,0.87,0.783,0.739,0.826,0.739,0.826,0.792,0.875,0.783,0.739,0.87,0.609,0.87,0.826,0.826,0.87,0.792,0.833,0.87,0.87,0.913,0.783,0.739,0.739,0.696,0.783,0.792,0.792,0.87,0.783,0.826,0.739,0.783,0.957,0.826,0.87,0.75,0.833,0.739,0.913,0.913,0.783,0.783,0.696,0.826,0.739,0.75,0.667,0.957,0.913,0.826,0.913,0.957,0.739,0.783,0.957,0.792,0.917,0.913,0.783,0.609,0.826,0.783,0.826,0.87,0.913
F1,0.624,0.833,0.825,0.913,0.825,0.689,0.868,0.824,0.783,0.783,0.667,0.873,0.868,0.78,0.912,0.783,0.783,0.696,0.87,0.826,0.788,0.873,0.87,0.867,0.738,0.78,0.957,0.824,0.783,0.869,0.782,0.829,0.826,0.868,0.87,0.782,0.738,0.825,0.733,0.824,0.791,0.875,0.78,0.738,0.869,0.607,0.869,0.824,0.825,0.869,0.788,0.832,0.87,0.869,0.912,0.778,0.738,0.724,0.692,0.782,0.788,0.791,0.87,0.782,0.826,0.738,0.782,0.957,0.825,0.87,0.748,0.833,0.736,0.912,0.912,0.783,0.783,0.694,0.826,0.729,0.748,0.664,0.956,0.913,0.825,0.913,0.956,0.738,0.782,0.957,0.788,0.916,0.913,0.782,0.607,0.826,0.783,0.825,0.869,0.912
