,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0.418,0.614,0.529,0.618,0.84,0.701,0.583,0.771,0.562,0.728,0.621,0.752,0.667,0.84,0.597,0.535,0.729,0.486,0.625,0.772,0.575,0.784,0.608,0.451,0.694,0.618,0.674,0.812,0.785,0.618,0.582,0.85,0.556,0.562,0.736,0.549,0.625,0.778,0.812,0.743,0.458,0.595,0.556,0.778,0.667,0.764,0.715,0.681,0.812,0.662,0.876,0.654,0.601,0.799,0.736,0.743,0.597,0.528,0.66,0.537,0.569,0.686,0.732,0.535,0.785,0.59,0.806,0.611,0.736,0.721,0.778,0.752,0.641,0.66,0.694,0.75,0.632,0.5,0.535,0.61,0.647,0.843,0.529,0.722,0.542,0.618,0.688,0.556,0.618,0.699,0.516,0.654,0.712,0.819,0.486,0.743,0.771,0.542,0.875,0.463
ACC,0.423,0.615,0.538,0.64,0.72,0.68,0.64,0.72,0.64,0.68,0.577,0.615,0.654,0.72,0.6,0.68,0.64,0.52,0.6,0.72,0.615,0.654,0.538,0.48,0.76,0.6,0.6,0.68,0.68,0.6,0.654,0.731,0.577,0.56,0.72,0.64,0.68,0.68,0.72,0.76,0.577,0.615,0.538,0.64,0.6,0.76,0.68,0.68,0.76,0.64,0.769,0.654,0.615,0.8,0.64,0.72,0.6,0.56,0.64,0.56,0.538,0.615,0.654,0.64,0.72,0.6,0.64,0.6,0.68,0.72,0.692,0.731,0.615,0.64,0.68,0.6,0.64,0.68,0.68,0.6,0.615,0.731,0.577,0.72,0.76,0.56,0.64,0.56,0.6,0.68,0.577,0.654,0.692,0.64,0.56,0.6,0.72,0.52,0.84,0.6
MCC,-0.399,0.055,-0.077,0.164,0.355,0.275,0.164,0.359,0.086,0.168,0.04,0.105,0.216,0.355,0.089,0.25,0.164,-0.097,0.089,0.379,0.055,0.256,-0.15,-0.327,0.492,0.089,0.175,0.272,0.275,0.016,0.093,0.362,0.04,-0.031,0.408,0.164,0.25,0.25,0.379,0.449,0.04,0.195,-0.077,0.086,-0.153,0.458,0.306,0.25,0.46,0.2,0.465,0.216,0.055,0.582,0.238,0.359,-0.021,-0.1,0.2,-0.046,-0.15,0.105,0.256,0.127,0.408,0.089,0.127,0.042,0.275,0.3,0.287,0.422,0.055,0.164,0.236,0.089,0.2,0.272,0.25,0.081,0.105,0.391,-0.015,0.379,0.492,-0.1,0.127,-0.031,0.089,0.114,0.04,0.177,0.26,0.127,-0.031,-0.021,0.355,-0.097,0.667,0.016
Precision,0.36,0.574,0.512,0.618,0.727,0.668,0.618,0.712,0.597,0.646,0.566,0.596,0.645,0.727,0.581,0.664,0.618,0.494,0.581,0.73,0.574,0.663,0.474,0.366,0.825,0.581,0.621,0.787,0.668,0.572,0.609,0.735,0.566,0.524,0.728,0.618,0.664,0.664,0.714,0.76,0.566,0.637,0.512,0.597,0.4,0.768,0.68,0.664,0.755,0.652,0.775,0.645,0.574,0.848,0.649,0.712,0.527,0.486,0.632,0.545,0.474,0.596,0.663,0.607,0.728,0.581,0.607,0.56,0.668,0.702,0.68,0.739,0.574,0.618,0.676,0.581,0.632,0.787,0.664,0.6,0.596,0.725,0.54,0.714,0.825,0.486,0.607,0.524,0.581,0.633,0.566,0.631,0.675,0.607,0.524,0.527,0.727,0.494,0.872,0.572
Recall,0.423,0.615,0.538,0.64,0.72,0.68,0.64,0.72,0.64,0.68,0.577,0.615,0.654,0.72,0.6,0.68,0.64,0.52,0.6,0.72,0.615,0.654,0.538,0.48,0.76,0.6,0.6,0.68,0.68,0.6,0.654,0.731,0.577,0.56,0.72,0.64,0.68,0.68,0.72,0.76,0.577,0.615,0.538,0.64,0.6,0.76,0.68,0.68,0.76,0.64,0.769,0.654,0.615,0.8,0.64,0.72,0.6,0.56,0.64,0.56,0.538,0.615,0.654,0.64,0.72,0.6,0.64,0.6,0.68,0.72,0.692,0.731,0.615,0.64,0.68,0.6,0.64,0.68,0.68,0.6,0.615,0.731,0.577,0.72,0.76,0.56,0.64,0.56,0.6,0.68,0.577,0.654,0.692,0.64,0.56,0.6,0.72,0.52,0.84,0.6
F1,0.389,0.581,0.522,0.619,0.685,0.669,0.619,0.704,0.558,0.644,0.571,0.602,0.649,0.685,0.587,0.652,0.619,0.504,0.587,0.724,0.581,0.658,0.497,0.415,0.719,0.587,0.607,0.584,0.669,0.583,0.573,0.696,0.571,0.535,0.723,0.619,0.652,0.652,0.716,0.76,0.571,0.623,0.522,0.558,0.48,0.739,0.68,0.652,0.752,0.645,0.748,0.649,0.581,0.775,0.644,0.704,0.532,0.505,0.635,0.552,0.497,0.602,0.658,0.595,0.723,0.587,0.595,0.565,0.669,0.699,0.682,0.734,0.581,0.619,0.625,0.587,0.635,0.584,0.652,0.6,0.602,0.727,0.552,0.716,0.719,0.505,0.595,0.535,0.587,0.608,0.571,0.633,0.665,0.595,0.535,0.532,0.685,0.504,0.826,0.583
