,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0.739,0.634,0.68,0.529,0.653,0.618,0.604,0.576,0.556,0.514,0.732,0.647,0.719,0.566,0.431,0.597,0.59,0.542,0.625,0.632,0.529,0.824,0.752,0.596,0.375,0.632,0.604,0.771,0.618,0.618,0.699,0.601,0.536,0.603,0.708,0.917,0.646,0.694,0.681,0.438,0.68,0.634,0.444,0.772,0.583,0.625,0.736,0.5,0.694,0.674,0.614,0.673,0.562,0.625,0.618,0.618,0.375,0.771,0.833,0.604,0.477,0.706,0.529,0.713,0.569,0.438,0.729,0.778,0.729,0.653,0.667,0.673,0.569,0.537,0.667,0.639,0.542,0.806,0.556,0.528,0.588,0.719,0.562,0.816,0.493,0.646,0.458,0.76,0.625,0.854,0.431,0.725,0.569,0.522,0.639,0.542,0.681,0.722,0.743,0.424
ACC,0.692,0.615,0.654,0.52,0.68,0.64,0.64,0.6,0.64,0.64,0.692,0.577,0.692,0.76,0.56,0.6,0.64,0.48,0.64,0.64,0.615,0.654,0.615,0.68,0.44,0.64,0.52,0.64,0.64,0.64,0.692,0.577,0.577,0.68,0.64,0.64,0.64,0.64,0.68,0.64,0.692,0.692,0.615,0.68,0.64,0.64,0.6,0.52,0.64,0.64,0.654,0.654,0.577,0.68,0.64,0.68,0.48,0.64,0.72,0.52,0.654,0.654,0.654,0.64,0.68,0.64,0.68,0.64,0.6,0.6,0.692,0.654,0.615,0.56,0.64,0.6,0.52,0.72,0.56,0.72,0.615,0.654,0.615,0.68,0.6,0.68,0.6,0.76,0.64,0.64,0.577,0.615,0.615,0.56,0.68,0.68,0.6,0.68,0.64,0.6
MCC,0.26,-0.01,0.0,-0.299,0.25,0.0,0.086,0.042,0.0,0.127,0.243,-0.086,0.275,0.43,-0.221,-0.153,0.0,-0.226,0.0,0.127,0.055,0.138,-0.146,0.0,-0.375,0.0,-0.277,0.164,0.0,0.127,0.275,-0.21,-0.086,0.0,0.0,0.0,0.0,0.0,0.272,0.086,0.275,0.275,-0.146,0.114,0.127,0.0,-0.153,-0.097,0.0,0.0,0.138,0.0,-0.086,0.0,0.0,0.236,-0.102,0.0,0.355,-0.277,0.177,0.0,0.093,0.086,0.272,0.0,0.272,0.0,-0.153,-0.153,0.275,0.0,-0.146,-0.253,0.0,-0.153,-0.042,0.355,-0.1,0.393,-0.146,0.0,-0.146,0.217,0.042,0.272,-0.021,0.479,0.0,0.0,-0.015,-0.01,-0.146,-0.046,0.272,0.272,-0.153,0.272,0.0,0.132
Precision,0.675,0.542,0.428,0.421,0.664,0.41,0.597,0.56,0.41,0.607,0.686,0.503,0.791,0.823,0.39,0.4,0.41,0.431,0.41,0.607,0.574,0.619,0.418,0.462,0.352,0.41,0.378,0.618,0.41,0.607,0.791,0.409,0.503,0.462,0.41,0.41,0.41,0.41,0.787,0.597,0.791,0.791,0.418,0.633,0.607,0.41,0.4,0.494,0.41,0.41,0.619,0.428,0.503,0.462,0.41,0.676,0.492,0.41,0.727,0.378,0.631,0.428,0.609,0.604,0.787,0.41,0.787,0.41,0.4,0.4,0.791,0.428,0.418,0.433,0.41,0.4,0.52,0.727,0.486,0.805,0.418,0.428,0.418,0.661,0.56,0.787,0.527,0.76,0.41,0.41,0.54,0.542,0.418,0.545,0.787,0.787,0.4,0.787,0.41,0.6
Recall,0.692,0.615,0.654,0.52,0.68,0.64,0.64,0.6,0.64,0.64,0.692,0.577,0.692,0.76,0.56,0.6,0.64,0.48,0.64,0.64,0.615,0.654,0.615,0.68,0.44,0.64,0.52,0.64,0.64,0.64,0.692,0.577,0.577,0.68,0.64,0.64,0.64,0.64,0.68,0.64,0.692,0.692,0.615,0.68,0.64,0.64,0.6,0.52,0.64,0.64,0.654,0.654,0.577,0.68,0.64,0.68,0.48,0.64,0.72,0.52,0.654,0.654,0.654,0.64,0.68,0.64,0.68,0.64,0.6,0.6,0.692,0.654,0.615,0.56,0.64,0.6,0.52,0.72,0.56,0.72,0.615,0.654,0.615,0.68,0.6,0.68,0.6,0.76,0.64,0.64,0.577,0.615,0.615,0.56,0.68,0.68,0.6,0.68,0.64,0.6
F1,0.665,0.548,0.517,0.465,0.652,0.5,0.558,0.565,0.5,0.595,0.638,0.523,0.599,0.706,0.459,0.48,0.5,0.45,0.5,0.595,0.581,0.609,0.498,0.55,0.391,0.5,0.438,0.619,0.5,0.595,0.599,0.478,0.523,0.55,0.5,0.5,0.5,0.5,0.584,0.558,0.599,0.599,0.498,0.608,0.595,0.5,0.48,0.504,0.5,0.5,0.609,0.517,0.523,0.55,0.5,0.625,0.485,0.5,0.685,0.438,0.633,0.517,0.573,0.613,0.584,0.5,0.584,0.5,0.48,0.48,0.599,0.517,0.498,0.488,0.5,0.48,0.52,0.685,0.505,0.656,0.498,0.517,0.498,0.666,0.565,0.584,0.532,0.76,0.5,0.5,0.552,0.548,0.498,0.552,0.584,0.584,0.48,0.584,0.5,0.6
