,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0.765,0.601,0.722,0.559,0.625,0.642,0.681,0.771,0.583,0.681,0.667,0.621,0.735,0.676,0.549,0.639,0.556,0.684,0.594,0.663,0.51,0.824,0.84,0.739,0.49,0.722,0.542,0.698,0.681,0.618,0.654,0.578,0.549,0.651,0.528,0.75,0.597,0.747,0.729,0.635,0.556,0.67,0.588,0.629,0.677,0.632,0.885,0.528,0.677,0.771,0.569,0.647,0.693,0.669,0.604,0.59,0.625,0.812,0.868,0.67,0.438,0.569,0.572,0.699,0.427,0.566,0.597,0.833,0.865,0.753,0.706,0.775,0.605,0.522,0.674,0.681,0.559,0.764,0.569,0.566,0.516,0.706,0.565,0.662,0.573,0.66,0.705,0.764,0.493,0.812,0.549,0.784,0.66,0.537,0.688,0.594,0.691,0.872,0.601,0.622
ACC,0.692,0.654,0.654,0.68,0.64,0.64,0.68,0.6,0.6,0.6,0.654,0.654,0.692,0.64,0.64,0.6,0.6,0.68,0.64,0.68,0.615,0.615,0.654,0.64,0.6,0.64,0.6,0.68,0.64,0.68,0.654,0.654,0.577,0.68,0.6,0.6,0.6,0.64,0.64,0.68,0.615,0.692,0.654,0.68,0.68,0.68,0.6,0.48,0.68,0.68,0.577,0.654,0.654,0.76,0.64,0.64,0.64,0.68,0.64,0.64,0.654,0.654,0.538,0.6,0.56,0.56,0.68,0.6,0.64,0.64,0.654,0.731,0.615,0.68,0.6,0.56,0.68,0.72,0.6,0.68,0.654,0.654,0.615,0.64,0.6,0.68,0.64,0.64,0.6,0.68,0.654,0.654,0.654,0.64,0.6,0.6,0.68,0.64,0.64,0.64
MCC,0.243,0.138,0.0,0.0,0.086,0.086,0.272,-0.153,-0.021,-0.021,0.0,0.0,0.275,-0.14,0.086,-0.021,-0.021,0.272,0.0,0.272,-0.146,-0.146,0.0,-0.14,-0.153,0.127,-0.153,0.236,0.0,0.272,0.093,0.0,-0.21,0.168,-0.021,-0.153,-0.153,0.086,0.086,0.272,-0.146,0.243,0.0,0.114,0.272,0.272,-0.153,-0.327,0.272,0.272,-0.21,0.093,0.093,0.43,0.086,0.086,0.086,0.272,0.0,0.0,0.093,0.0,-0.263,-0.202,-0.221,-0.221,0.236,-0.153,0.0,0.0,0.093,0.397,-0.146,0.0,-0.153,-0.1,0.272,0.393,-0.153,0.272,0.0,0.138,-0.01,0.011,-0.153,0.236,0.086,0.086,-0.153,0.272,0.093,0.093,0.093,-0.14,-0.153,-0.153,0.272,0.0,0.0,0.0
Precision,0.686,0.619,0.428,0.462,0.597,0.597,0.787,0.4,0.527,0.527,0.428,0.428,0.791,0.453,0.597,0.527,0.527,0.787,0.41,0.787,0.418,0.418,0.428,0.453,0.4,0.607,0.4,0.676,0.41,0.787,0.609,0.428,0.409,0.646,0.527,0.4,0.4,0.597,0.597,0.787,0.418,0.686,0.428,0.633,0.787,0.787,0.4,0.366,0.787,0.787,0.409,0.609,0.609,0.823,0.597,0.597,0.597,0.787,0.41,0.41,0.609,0.428,0.398,0.443,0.39,0.39,0.676,0.4,0.41,0.41,0.609,0.809,0.418,0.462,0.4,0.486,0.787,0.805,0.4,0.787,0.428,0.619,0.542,0.57,0.4,0.676,0.597,0.597,0.4,0.787,0.609,0.609,0.609,0.453,0.4,0.4,0.787,0.41,0.41,0.41
Recall,0.692,0.654,0.654,0.68,0.64,0.64,0.68,0.6,0.6,0.6,0.654,0.654,0.692,0.64,0.64,0.6,0.6,0.68,0.64,0.68,0.615,0.615,0.654,0.64,0.6,0.64,0.6,0.68,0.64,0.68,0.654,0.654,0.577,0.68,0.6,0.6,0.6,0.64,0.64,0.68,0.615,0.692,0.654,0.68,0.68,0.68,0.6,0.48,0.68,0.68,0.577,0.654,0.654,0.76,0.64,0.64,0.64,0.68,0.64,0.64,0.654,0.654,0.538,0.6,0.56,0.56,0.68,0.6,0.64,0.64,0.654,0.731,0.615,0.68,0.6,0.56,0.68,0.72,0.6,0.68,0.654,0.654,0.615,0.64,0.6,0.68,0.64,0.64,0.6,0.68,0.654,0.654,0.654,0.64,0.6,0.6,0.68,0.64,0.64,0.64
F1,0.638,0.609,0.517,0.55,0.558,0.558,0.584,0.48,0.532,0.532,0.517,0.517,0.599,0.531,0.558,0.532,0.532,0.584,0.5,0.584,0.498,0.498,0.517,0.531,0.48,0.595,0.48,0.625,0.5,0.584,0.573,0.517,0.478,0.644,0.532,0.48,0.48,0.558,0.558,0.584,0.498,0.638,0.517,0.608,0.584,0.584,0.48,0.415,0.584,0.584,0.478,0.573,0.573,0.706,0.558,0.558,0.558,0.584,0.5,0.5,0.573,0.517,0.458,0.51,0.459,0.459,0.625,0.48,0.5,0.5,0.573,0.668,0.498,0.55,0.48,0.505,0.584,0.656,0.48,0.584,0.517,0.609,0.548,0.581,0.48,0.625,0.558,0.558,0.48,0.584,0.573,0.573,0.573,0.531,0.48,0.48,0.584,0.5,0.5,0.5
