,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0.68,0.641,0.399,0.596,0.785,0.715,0.583,0.444,0.653,0.632,0.758,0.614,0.569,0.853,0.556,0.715,0.528,0.424,0.639,0.556,0.693,0.549,0.595,0.566,0.604,0.708,0.785,0.528,0.639,0.542,0.608,0.732,0.634,0.816,0.847,0.556,0.535,0.632,0.458,0.583,0.556,0.824,0.667,0.618,0.625,0.639,0.66,0.736,0.451,0.604,0.641,0.536,0.523,0.699,0.618,0.542,0.667,0.639,0.542,0.826,0.765,0.647,0.471,0.603,0.5,0.743,0.715,0.514,0.701,0.694,0.359,0.399,0.562,0.779,0.75,0.549,0.493,0.514,0.84,0.674,0.51,0.68,0.654,0.61,0.875,0.59,0.576,0.701,0.569,0.653,0.797,0.66,0.667,0.574,0.729,0.618,0.382,0.507,0.646,0.688
ACC,0.577,0.654,0.615,0.56,0.8,0.72,0.6,0.52,0.56,0.48,0.577,0.538,0.538,0.76,0.68,0.68,0.52,0.48,0.6,0.52,0.654,0.692,0.615,0.56,0.56,0.64,0.76,0.56,0.6,0.56,0.577,0.577,0.615,0.68,0.68,0.56,0.52,0.6,0.44,0.64,0.654,0.731,0.654,0.6,0.52,0.48,0.6,0.8,0.44,0.52,0.5,0.538,0.5,0.64,0.64,0.52,0.56,0.56,0.64,0.8,0.654,0.615,0.462,0.6,0.48,0.64,0.64,0.56,0.64,0.6,0.462,0.5,0.538,0.6,0.64,0.52,0.56,0.56,0.8,0.6,0.538,0.731,0.538,0.68,0.84,0.52,0.56,0.64,0.52,0.68,0.692,0.462,0.577,0.64,0.6,0.64,0.4,0.4,0.6,0.64
MCC,-0.015,0.177,0.105,-0.046,0.578,0.359,0.175,0.007,0.161,0.042,0.089,0.081,-0.02,0.49,0.275,0.342,0.007,-0.157,0.132,0.007,0.256,0.287,0.055,0.144,0.113,0.238,0.479,-0.031,0.175,0.021,0.04,0.243,0.195,0.371,0.342,0.161,0.007,0.132,-0.375,0.164,0.177,0.462,0.216,0.199,0.053,-0.007,0.132,0.557,-0.161,-0.097,0.077,0.031,-0.025,0.145,0.28,-0.097,0.068,-0.031,0.164,0.578,0.177,0.296,-0.19,0.263,-0.007,0.127,0.164,0.068,0.238,0.175,-0.132,-0.025,0.031,0.336,0.238,-0.097,0.021,0.113,0.578,0.22,-0.02,0.422,0.081,0.217,0.653,0.007,-0.031,0.389,0.053,0.387,0.32,0.02,-0.015,0.2,-0.021,0.238,-0.336,-0.175,0.175,0.238
Precision,0.54,0.631,0.596,0.545,0.807,0.712,0.621,0.542,0.62,0.562,0.588,0.586,0.538,0.781,0.668,0.699,0.542,0.466,0.6,0.542,0.663,0.68,0.574,0.633,0.593,0.649,0.76,0.524,0.621,0.549,0.566,0.675,0.637,0.735,0.699,0.62,0.542,0.6,0.352,0.618,0.631,0.762,0.645,0.656,0.565,0.536,0.6,0.797,0.464,0.494,0.587,0.562,0.536,0.628,0.672,0.494,0.571,0.524,0.618,0.807,0.631,0.697,0.462,0.694,0.536,0.607,0.618,0.571,0.649,0.621,0.487,0.536,0.562,0.744,0.649,0.494,0.549,0.593,0.807,0.646,0.538,0.739,0.586,0.661,0.84,0.542,0.524,0.749,0.565,0.727,0.692,0.558,0.54,0.652,0.527,0.649,0.384,0.452,0.621,0.649
Recall,0.577,0.654,0.615,0.56,0.8,0.72,0.6,0.52,0.56,0.48,0.577,0.538,0.538,0.76,0.68,0.68,0.52,0.48,0.6,0.52,0.654,0.692,0.615,0.56,0.56,0.64,0.76,0.56,0.6,0.56,0.577,0.577,0.615,0.68,0.68,0.56,0.52,0.6,0.44,0.64,0.654,0.731,0.654,0.6,0.52,0.48,0.6,0.8,0.44,0.52,0.5,0.538,0.5,0.64,0.64,0.52,0.56,0.56,0.64,0.8,0.654,0.615,0.462,0.6,0.48,0.64,0.64,0.56,0.64,0.6,0.462,0.5,0.538,0.6,0.64,0.52,0.56,0.56,0.8,0.6,0.538,0.731,0.538,0.68,0.84,0.52,0.56,0.64,0.52,0.68,0.692,0.462,0.577,0.64,0.6,0.64,0.4,0.4,0.6,0.64
F1,0.552,0.633,0.602,0.552,0.802,0.704,0.607,0.528,0.567,0.48,0.582,0.55,0.538,0.766,0.669,0.685,0.528,0.473,0.6,0.528,0.658,0.682,0.581,0.574,0.569,0.644,0.76,0.535,0.607,0.554,0.571,0.581,0.623,0.691,0.685,0.567,0.528,0.6,0.391,0.619,0.633,0.737,0.649,0.613,0.529,0.488,0.6,0.797,0.449,0.504,0.505,0.547,0.512,0.633,0.647,0.504,0.564,0.535,0.619,0.802,0.633,0.622,0.462,0.612,0.488,0.595,0.619,0.564,0.644,0.607,0.472,0.512,0.547,0.605,0.644,0.504,0.554,0.569,0.802,0.608,0.538,0.734,0.55,0.666,0.84,0.528,0.535,0.64,0.529,0.686,0.692,0.462,0.552,0.645,0.532,0.644,0.391,0.41,0.607,0.644
