,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0.647,0.582,0.523,0.667,0.819,0.41,0.625,0.722,0.431,0.515,0.477,0.582,0.412,0.5,0.576,0.778,0.507,0.444,0.799,0.566,0.484,0.765,0.758,0.701,0.694,0.528,0.542,0.75,0.5,0.478,0.582,0.542,0.752,0.542,0.667,0.611,0.583,0.583,0.562,0.324,0.732,0.66,0.68,0.556,0.75,0.535,0.438,0.639,0.583,0.537,0.647,0.418,0.667,0.576,0.576,0.59,0.785,0.514,0.549,0.397,0.693,0.497,0.66,0.556,0.583,0.667,0.708,0.625,0.479,0.618,0.516,0.562,0.739,0.562,0.646,0.507,0.368,0.868,0.479,0.493,0.477,0.634,0.719,0.465,0.521,0.66,0.646,0.521,0.986,0.507,0.614,0.699,0.588,0.681,0.472,0.625,0.66,0.549,0.472,0.654
ACC,0.577,0.692,0.577,0.68,0.8,0.48,0.68,0.68,0.6,0.6,0.423,0.692,0.385,0.6,0.56,0.72,0.6,0.56,0.72,0.64,0.538,0.615,0.731,0.64,0.64,0.68,0.6,0.72,0.52,0.52,0.692,0.538,0.654,0.48,0.6,0.56,0.68,0.68,0.6,0.52,0.654,0.654,0.615,0.68,0.6,0.64,0.44,0.72,0.64,0.52,0.731,0.577,0.692,0.56,0.68,0.56,0.72,0.56,0.6,0.4,0.615,0.654,0.692,0.64,0.56,0.68,0.68,0.64,0.56,0.6,0.538,0.538,0.731,0.56,0.72,0.64,0.44,0.76,0.44,0.56,0.538,0.5,0.692,0.64,0.6,0.68,0.56,0.64,0.92,0.52,0.654,0.692,0.654,0.68,0.56,0.6,0.6,0.52,0.52,0.68
MCC,-0.086,0.32,-0.015,0.25,0.554,-0.226,0.275,0.275,0.089,0.081,-0.243,0.243,-0.243,-0.021,0.113,0.355,0.132,0.021,0.408,0.145,0.031,0.15,0.362,0.2,0.2,0.25,0.089,0.355,0.053,0.09,0.32,-0.02,0.349,-0.007,0.175,0.021,0.25,0.25,0.042,-0.299,0.299,0.256,0.243,0.236,0.132,0.164,-0.068,0.379,0.2,-0.035,0.391,-0.015,0.26,0.021,0.25,-0.1,0.447,0.068,0.089,-0.14,0.15,0.177,0.32,0.164,-0.031,0.25,0.342,0.164,0.021,0.016,-0.077,-0.077,0.391,0.113,0.355,0.127,-0.161,0.479,-0.282,-0.129,-0.02,-0.025,0.26,0.164,0.132,0.306,0.021,0.164,0.826,-0.035,0.256,0.243,0.256,0.275,0.068,0.272,0.089,0.007,-0.097,0.265
Precision,0.503,0.692,0.54,0.664,0.805,0.431,0.668,0.668,0.581,0.6,0.437,0.686,0.432,0.527,0.593,0.727,0.6,0.549,0.728,0.628,0.562,0.615,0.735,0.632,0.632,0.664,0.581,0.727,0.565,0.609,0.692,0.538,0.718,0.536,0.621,0.549,0.664,0.664,0.56,0.421,0.687,0.663,0.663,0.676,0.6,0.618,0.504,0.714,0.632,0.549,0.725,0.54,0.675,0.549,0.664,0.486,0.752,0.571,0.581,0.493,0.615,0.631,0.692,0.618,0.524,0.664,0.699,0.618,0.549,0.572,0.512,0.512,0.725,0.593,0.727,0.607,0.464,0.76,0.407,0.506,0.538,0.536,0.675,0.618,0.6,0.68,0.549,0.618,0.92,0.549,0.663,0.686,0.663,0.668,0.571,0.68,0.581,0.542,0.494,0.68
Recall,0.577,0.692,0.577,0.68,0.8,0.48,0.68,0.68,0.6,0.6,0.423,0.692,0.385,0.6,0.56,0.72,0.6,0.56,0.72,0.64,0.538,0.615,0.731,0.64,0.64,0.68,0.6,0.72,0.52,0.52,0.692,0.538,0.654,0.48,0.6,0.56,0.68,0.68,0.6,0.52,0.654,0.654,0.615,0.68,0.6,0.64,0.44,0.72,0.64,0.52,0.731,0.577,0.692,0.56,0.68,0.56,0.72,0.56,0.6,0.4,0.615,0.654,0.692,0.64,0.56,0.68,0.68,0.64,0.56,0.6,0.538,0.538,0.731,0.56,0.72,0.64,0.44,0.76,0.44,0.56,0.538,0.5,0.692,0.64,0.6,0.68,0.56,0.64,0.92,0.52,0.654,0.692,0.654,0.68,0.56,0.6,0.6,0.52,0.52,0.68
F1,0.523,0.692,0.552,0.652,0.789,0.45,0.669,0.669,0.587,0.6,0.43,0.638,0.4,0.532,0.569,0.685,0.6,0.554,0.723,0.633,0.547,0.615,0.696,0.635,0.635,0.652,0.587,0.685,0.529,0.534,0.692,0.538,0.662,0.488,0.607,0.554,0.652,0.652,0.565,0.465,0.662,0.658,0.625,0.625,0.6,0.619,0.445,0.716,0.635,0.532,0.727,0.552,0.665,0.554,0.652,0.505,0.726,0.564,0.587,0.414,0.615,0.633,0.692,0.619,0.535,0.652,0.685,0.619,0.554,0.583,0.522,0.522,0.727,0.569,0.685,0.595,0.449,0.76,0.421,0.527,0.538,0.512,0.665,0.619,0.6,0.68,0.554,0.619,0.92,0.532,0.658,0.638,0.658,0.669,0.564,0.604,0.587,0.528,0.504,0.68
