,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0.634,0.608,0.366,0.603,0.792,0.694,0.639,0.549,0.604,0.59,0.725,0.582,0.588,0.846,0.576,0.694,0.562,0.403,0.604,0.535,0.66,0.49,0.562,0.64,0.542,0.681,0.785,0.618,0.708,0.549,0.627,0.686,0.673,0.868,0.847,0.569,0.542,0.646,0.424,0.597,0.542,0.804,0.693,0.625,0.674,0.632,0.729,0.757,0.465,0.625,0.654,0.516,0.523,0.618,0.646,0.493,0.597,0.542,0.535,0.799,0.732,0.654,0.51,0.618,0.458,0.729,0.722,0.556,0.743,0.646,0.412,0.444,0.549,0.743,0.743,0.542,0.528,0.507,0.799,0.667,0.549,0.673,0.654,0.64,0.861,0.597,0.59,0.701,0.535,0.681,0.83,0.608,0.693,0.507,0.701,0.604,0.326,0.472,0.653,0.715
ACC,0.654,0.654,0.577,0.56,0.8,0.64,0.64,0.48,0.6,0.48,0.615,0.462,0.538,0.8,0.6,0.72,0.48,0.44,0.64,0.56,0.731,0.654,0.692,0.56,0.52,0.68,0.76,0.56,0.6,0.56,0.615,0.538,0.731,0.8,0.72,0.48,0.48,0.56,0.4,0.64,0.654,0.731,0.615,0.6,0.6,0.52,0.64,0.72,0.48,0.6,0.5,0.462,0.5,0.72,0.64,0.6,0.56,0.64,0.56,0.72,0.654,0.577,0.577,0.64,0.44,0.72,0.72,0.56,0.76,0.6,0.5,0.462,0.615,0.64,0.68,0.6,0.52,0.52,0.76,0.6,0.615,0.731,0.654,0.68,0.84,0.52,0.56,0.6,0.56,0.64,0.731,0.5,0.615,0.6,0.72,0.6,0.28,0.48,0.64,0.6
MCC,0.216,0.177,-0.015,-0.046,0.578,0.164,0.28,-0.102,0.22,-0.007,0.195,-0.259,0.031,0.601,0.132,0.408,-0.157,-0.215,0.2,0.021,0.422,0.216,0.243,0.144,0.053,0.275,0.479,0.068,0.22,0.021,0.15,0.132,0.422,0.557,0.408,-0.157,-0.102,0.021,-0.336,0.164,0.177,0.511,0.243,0.199,0.22,0.053,0.2,0.447,-0.053,0.132,0.025,-0.132,-0.025,0.336,0.238,0.089,0.068,0.164,0.021,0.408,0.177,0.243,-0.015,0.385,-0.068,0.379,0.408,0.068,0.46,0.175,-0.135,-0.19,0.243,0.385,0.342,0.089,-0.097,0.007,0.51,0.175,0.15,0.422,0.256,0.265,0.653,0.007,-0.1,0.272,0.113,0.28,0.391,0.077,0.055,0.081,0.359,0.22,-0.497,-0.007,0.28,0.175
Precision,0.645,0.631,0.54,0.545,0.807,0.618,0.672,0.492,0.646,0.536,0.637,0.428,0.562,0.835,0.6,0.728,0.466,0.44,0.632,0.549,0.739,0.645,0.686,0.633,0.565,0.668,0.76,0.571,0.646,0.549,0.615,0.614,0.739,0.808,0.728,0.466,0.492,0.549,0.384,0.618,0.631,0.797,0.663,0.656,0.646,0.565,0.632,0.752,0.514,0.6,0.56,0.487,0.536,0.712,0.649,0.581,0.571,0.618,0.549,0.728,0.631,0.675,0.54,0.761,0.504,0.714,0.728,0.571,0.755,0.621,0.486,0.462,0.663,0.761,0.699,0.581,0.494,0.542,0.778,0.621,0.615,0.739,0.663,0.68,0.84,0.542,0.486,0.68,0.593,0.672,0.725,0.587,0.574,0.6,0.712,0.646,0.307,0.536,0.672,0.621
Recall,0.654,0.654,0.577,0.56,0.8,0.64,0.64,0.48,0.6,0.48,0.615,0.462,0.538,0.8,0.6,0.72,0.48,0.44,0.64,0.56,0.731,0.654,0.692,0.56,0.52,0.68,0.76,0.56,0.6,0.56,0.615,0.538,0.731,0.8,0.72,0.48,0.48,0.56,0.4,0.64,0.654,0.731,0.615,0.6,0.6,0.52,0.64,0.72,0.48,0.6,0.5,0.462,0.5,0.72,0.64,0.6,0.56,0.64,0.56,0.72,0.654,0.577,0.577,0.64,0.44,0.72,0.72,0.56,0.76,0.6,0.5,0.462,0.615,0.64,0.68,0.6,0.52,0.52,0.76,0.6,0.615,0.731,0.654,0.68,0.84,0.52,0.56,0.6,0.56,0.64,0.731,0.5,0.615,0.6,0.72,0.6,0.28,0.48,0.64,0.6
F1,0.649,0.633,0.552,0.552,0.802,0.619,0.647,0.485,0.608,0.488,0.623,0.443,0.547,0.806,0.6,0.723,0.473,0.44,0.635,0.554,0.734,0.649,0.638,0.574,0.529,0.669,0.76,0.564,0.608,0.554,0.615,0.547,0.734,0.803,0.723,0.473,0.485,0.554,0.391,0.619,0.633,0.737,0.625,0.613,0.608,0.529,0.635,0.726,0.49,0.6,0.511,0.472,0.512,0.715,0.644,0.587,0.564,0.619,0.554,0.723,0.633,0.581,0.552,0.648,0.445,0.716,0.723,0.564,0.752,0.607,0.492,0.462,0.625,0.648,0.685,0.587,0.504,0.528,0.764,0.607,0.615,0.734,0.658,0.68,0.84,0.528,0.505,0.604,0.569,0.647,0.727,0.505,0.581,0.6,0.704,0.608,0.292,0.488,0.647,0.607
