,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0.588,0.536,0.301,0.625,0.694,0.354,0.611,0.514,0.688,0.537,0.477,0.765,0.49,0.25,0.396,0.576,0.743,0.472,0.569,0.397,0.693,0.49,0.608,0.646,0.417,0.59,0.618,0.451,0.424,0.463,0.673,0.575,0.582,0.514,0.625,0.347,0.486,0.236,0.59,0.456,0.614,0.366,0.327,0.549,0.757,0.451,0.535,0.556,0.667,0.346,0.804,0.569,0.595,0.569,0.667,0.549,0.639,0.618,0.694,0.36,0.405,0.647,0.588,0.542,0.667,0.354,0.444,0.514,0.778,0.463,0.281,0.562,0.725,0.736,0.514,0.542,0.41,0.576,0.639,0.743,0.425,0.556,0.621,0.569,0.41,0.354,0.542,0.507,0.653,0.75,0.569,0.471,0.582,0.694,0.535,0.625,0.542,0.535,0.438,0.566
ACC,0.577,0.577,0.5,0.52,0.6,0.56,0.64,0.72,0.76,0.68,0.5,0.692,0.615,0.48,0.6,0.64,0.72,0.52,0.72,0.56,0.731,0.692,0.654,0.68,0.6,0.68,0.68,0.6,0.6,0.56,0.692,0.615,0.615,0.6,0.6,0.52,0.64,0.64,0.64,0.64,0.654,0.577,0.5,0.68,0.64,0.6,0.56,0.52,0.6,0.48,0.808,0.615,0.654,0.72,0.68,0.52,0.6,0.64,0.6,0.56,0.538,0.654,0.577,0.52,0.68,0.4,0.56,0.6,0.68,0.72,0.385,0.538,0.654,0.76,0.64,0.6,0.48,0.64,0.64,0.72,0.615,0.5,0.615,0.68,0.48,0.68,0.56,0.64,0.68,0.64,0.577,0.654,0.654,0.72,0.56,0.64,0.68,0.68,0.56,0.6
MCC,-0.015,-0.015,-0.135,-0.097,-0.153,-0.1,0.086,0.359,0.492,0.0,-0.31,0.243,-0.01,-0.327,-0.153,0.127,0.359,-0.097,0.379,-0.253,0.369,0.275,0.0,0.236,0.042,0.272,0.25,-0.153,-0.153,-0.046,0.26,0.15,0.055,-0.021,0.089,-0.097,0.127,0.0,0.164,-0.14,0.093,-0.086,-0.31,0.236,0.0,0.042,0.068,-0.277,-0.153,-0.157,0.561,0.105,0.0,0.393,0.25,-0.277,-0.021,0.127,0.042,-0.129,-0.263,0.093,-0.015,-0.097,0.25,-0.272,-0.1,0.089,0.275,0.298,-0.359,-0.15,0.138,0.458,0.086,-0.153,-0.053,0.086,0.2,0.3,-0.146,-0.135,-0.146,0.25,-0.226,0.272,-0.1,0.127,0.272,0.011,-0.086,0.138,0.138,0.393,-0.221,0.086,0.25,0.236,-0.031,-0.065
Precision,0.54,0.54,0.486,0.494,0.4,0.486,0.597,0.712,0.825,0.462,0.386,0.686,0.542,0.366,0.4,0.607,0.712,0.494,0.714,0.433,0.721,0.791,0.428,0.676,0.56,0.787,0.664,0.4,0.4,0.545,0.675,0.615,0.574,0.527,0.581,0.494,0.607,0.41,0.618,0.453,0.609,0.503,0.386,0.676,0.41,0.56,0.571,0.378,0.4,0.496,0.812,0.596,0.428,0.805,0.664,0.378,0.527,0.607,0.56,0.506,0.398,0.609,0.54,0.494,0.664,0.413,0.486,0.581,0.668,0.802,0.385,0.474,0.619,0.768,0.597,0.4,0.514,0.597,0.632,0.702,0.418,0.486,0.418,0.664,0.431,0.787,0.486,0.607,0.787,0.57,0.503,0.619,0.619,0.805,0.39,0.597,0.664,0.676,0.524,0.533
Recall,0.577,0.577,0.5,0.52,0.6,0.56,0.64,0.72,0.76,0.68,0.5,0.692,0.615,0.48,0.6,0.64,0.72,0.52,0.72,0.56,0.731,0.692,0.654,0.68,0.6,0.68,0.68,0.6,0.6,0.56,0.692,0.615,0.615,0.6,0.6,0.52,0.64,0.64,0.64,0.64,0.654,0.577,0.5,0.68,0.64,0.6,0.56,0.52,0.6,0.48,0.808,0.615,0.654,0.72,0.68,0.52,0.6,0.64,0.6,0.56,0.538,0.654,0.577,0.52,0.68,0.4,0.56,0.6,0.68,0.72,0.385,0.538,0.654,0.76,0.64,0.6,0.48,0.64,0.64,0.72,0.615,0.5,0.615,0.68,0.48,0.68,0.56,0.64,0.68,0.64,0.577,0.654,0.654,0.72,0.56,0.64,0.68,0.68,0.56,0.6
F1,0.552,0.552,0.492,0.504,0.48,0.505,0.558,0.704,0.719,0.55,0.436,0.638,0.548,0.415,0.48,0.595,0.704,0.504,0.716,0.488,0.715,0.599,0.517,0.625,0.565,0.584,0.652,0.48,0.48,0.552,0.665,0.615,0.581,0.532,0.587,0.504,0.595,0.5,0.619,0.531,0.573,0.523,0.436,0.625,0.5,0.565,0.564,0.438,0.48,0.487,0.796,0.602,0.517,0.656,0.652,0.438,0.532,0.595,0.565,0.527,0.458,0.573,0.552,0.504,0.652,0.406,0.505,0.587,0.669,0.635,0.385,0.497,0.609,0.739,0.558,0.48,0.49,0.558,0.635,0.699,0.498,0.492,0.498,0.652,0.45,0.584,0.505,0.595,0.584,0.581,0.523,0.609,0.609,0.656,0.459,0.558,0.652,0.625,0.535,0.554
