,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0.405,0.667,0.523,0.597,0.819,0.736,0.576,0.736,0.625,0.713,0.608,0.693,0.673,0.882,0.632,0.583,0.826,0.639,0.583,0.772,0.595,0.725,0.654,0.507,0.681,0.625,0.757,0.806,0.771,0.662,0.614,0.804,0.523,0.556,0.722,0.618,0.611,0.674,0.833,0.75,0.471,0.634,0.575,0.715,0.681,0.764,0.778,0.736,0.826,0.596,0.928,0.627,0.699,0.66,0.764,0.799,0.604,0.472,0.639,0.544,0.569,0.686,0.693,0.486,0.792,0.604,0.847,0.556,0.736,0.728,0.706,0.791,0.706,0.722,0.736,0.799,0.688,0.451,0.556,0.529,0.673,0.869,0.523,0.715,0.521,0.59,0.757,0.535,0.556,0.706,0.542,0.699,0.68,0.833,0.542,0.75,0.715,0.542,0.854,0.485
ACC,0.462,0.615,0.462,0.6,0.72,0.6,0.64,0.76,0.64,0.72,0.577,0.615,0.654,0.76,0.68,0.64,0.68,0.64,0.6,0.72,0.615,0.654,0.577,0.52,0.84,0.64,0.72,0.68,0.64,0.56,0.692,0.615,0.615,0.52,0.76,0.64,0.56,0.64,0.76,0.84,0.538,0.654,0.577,0.6,0.6,0.84,0.68,0.64,0.76,0.68,0.731,0.577,0.692,0.6,0.68,0.72,0.56,0.52,0.6,0.6,0.615,0.654,0.654,0.6,0.76,0.56,0.64,0.6,0.6,0.72,0.692,0.692,0.577,0.64,0.72,0.64,0.68,0.64,0.68,0.6,0.615,0.808,0.577,0.72,0.64,0.56,0.6,0.56,0.56,0.68,0.615,0.654,0.654,0.72,0.56,0.6,0.64,0.6,0.72,0.6
MCC,-0.355,0.055,-0.259,0.089,0.355,0.175,0.164,0.458,0.127,0.3,-0.015,0.055,0.216,0.458,0.25,0.127,0.25,0.238,0.089,0.379,0.055,0.299,-0.015,-0.167,0.667,0.2,0.379,0.272,0.164,-0.046,0.243,-0.146,0.055,-0.167,0.46,0.2,0.021,0.164,0.479,0.618,-0.077,0.216,-0.015,-0.021,-0.021,0.667,0.306,0.127,0.479,0.217,0.362,0.089,0.243,0.042,0.306,0.359,-0.221,-0.167,0.132,0.016,0.055,0.138,0.256,0.042,0.479,-0.031,0.127,-0.021,-0.021,0.274,0.26,0.32,0.04,0.2,0.355,0.127,0.306,0.0,0.25,0.016,0.105,0.566,-0.086,0.359,0.0,-0.031,0.042,-0.1,0.021,0.114,0.105,0.216,0.177,0.359,-0.031,-0.021,0.164,0.089,0.359,0.016
Precision,0.374,0.574,0.428,0.581,0.727,0.621,0.618,0.768,0.607,0.702,0.54,0.574,0.645,0.768,0.664,0.607,0.664,0.649,0.581,0.73,0.574,0.687,0.54,0.456,0.872,0.632,0.714,0.787,0.618,0.545,0.686,0.418,0.574,0.456,0.755,0.632,0.549,0.618,0.76,0.839,0.512,0.645,0.54,0.527,0.527,0.872,0.68,0.607,0.76,0.661,0.735,0.588,0.686,0.56,0.68,0.712,0.39,0.456,0.6,0.572,0.574,0.619,0.663,0.56,0.76,0.524,0.607,0.527,0.527,0.708,0.675,0.692,0.566,0.632,0.727,0.607,0.68,0.41,0.664,0.572,0.596,0.804,0.503,0.712,0.41,0.524,0.56,0.486,0.549,0.633,0.596,0.645,0.631,0.712,0.524,0.527,0.618,0.581,0.712,0.572
Recall,0.462,0.615,0.462,0.6,0.72,0.6,0.64,0.76,0.64,0.72,0.577,0.615,0.654,0.76,0.68,0.64,0.68,0.64,0.6,0.72,0.615,0.654,0.577,0.52,0.84,0.64,0.72,0.68,0.64,0.56,0.692,0.615,0.615,0.52,0.76,0.64,0.56,0.64,0.76,0.84,0.538,0.654,0.577,0.6,0.6,0.84,0.68,0.64,0.76,0.68,0.731,0.577,0.692,0.6,0.68,0.72,0.56,0.52,0.6,0.6,0.615,0.654,0.654,0.6,0.76,0.56,0.64,0.6,0.6,0.72,0.692,0.692,0.577,0.64,0.72,0.64,0.68,0.64,0.68,0.6,0.615,0.808,0.577,0.72,0.64,0.56,0.6,0.56,0.56,0.68,0.615,0.654,0.654,0.72,0.56,0.6,0.64,0.6,0.72,0.6
F1,0.413,0.581,0.443,0.587,0.685,0.607,0.619,0.739,0.595,0.699,0.552,0.581,0.649,0.739,0.652,0.595,0.652,0.644,0.587,0.724,0.581,0.662,0.552,0.478,0.826,0.635,0.716,0.584,0.619,0.552,0.638,0.498,0.581,0.478,0.752,0.635,0.554,0.619,0.76,0.833,0.522,0.649,0.552,0.532,0.532,0.826,0.68,0.595,0.76,0.666,0.696,0.582,0.638,0.565,0.68,0.704,0.459,0.478,0.6,0.583,0.581,0.609,0.658,0.565,0.76,0.535,0.595,0.532,0.532,0.674,0.665,0.692,0.571,0.635,0.685,0.595,0.68,0.5,0.652,0.583,0.602,0.805,0.523,0.704,0.5,0.535,0.565,0.505,0.554,0.608,0.602,0.649,0.633,0.704,0.535,0.532,0.619,0.587,0.704,0.583
