,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACC,0.711,0.602,0.627,0.602,0.699,0.759,0.663,0.723,0.59,0.585,0.711,0.687,0.639,0.602,0.542,0.651,0.735,0.614,0.651,0.634,0.651,0.663,0.614,0.639,0.723,0.687,0.687,0.578,0.627,0.634,0.675,0.614,0.614,0.614,0.627,0.627,0.699,0.627,0.663,0.756,0.771,0.566,0.687,0.639,0.699,0.699,0.699,0.578,0.675,0.659,0.699,0.699,0.651,0.627,0.639,0.651,0.578,0.711,0.59,0.622,0.59,0.627,0.783,0.639,0.699,0.687,0.578,0.639,0.639,0.695,0.687,0.566,0.627,0.578,0.639,0.675,0.687,0.614,0.651,0.707,0.723,0.663,0.602,0.614,0.699,0.627,0.759,0.735,0.627,0.61,0.735,0.651,0.663,0.602,0.639,0.627,0.699,0.627,0.627,0.622
MCC,0.598,0.436,0.499,0.444,0.559,0.675,0.553,0.626,0.452,0.451,0.616,0.569,0.504,0.454,0.395,0.517,0.616,0.481,0.527,0.511,0.546,0.542,0.478,0.505,0.629,0.548,0.577,0.434,0.492,0.496,0.558,0.451,0.481,0.454,0.488,0.486,0.594,0.537,0.551,0.653,0.687,0.436,0.591,0.509,0.597,0.576,0.588,0.441,0.54,0.535,0.587,0.577,0.527,0.495,0.49,0.52,0.403,0.607,0.468,0.494,0.409,0.532,0.71,0.524,0.568,0.593,0.417,0.51,0.48,0.578,0.569,0.436,0.494,0.411,0.52,0.548,0.578,0.478,0.516,0.59,0.637,0.566,0.45,0.46,0.592,0.48,0.667,0.631,0.484,0.456,0.634,0.525,0.534,0.478,0.491,0.48,0.585,0.479,0.484,0.519
Precision,0.722,0.619,0.642,0.621,0.694,0.77,0.686,0.729,0.597,0.604,0.729,0.696,0.639,0.608,0.546,0.657,0.736,0.632,0.662,0.643,0.701,0.675,0.617,0.65,0.761,0.675,0.718,0.606,0.647,0.634,0.682,0.612,0.642,0.617,0.636,0.637,0.707,0.687,0.695,0.758,0.785,0.586,0.717,0.677,0.731,0.699,0.704,0.596,0.675,0.677,0.725,0.705,0.666,0.632,0.656,0.652,0.576,0.727,0.615,0.626,0.596,0.686,0.813,0.654,0.697,0.725,0.544,0.652,0.657,0.711,0.698,0.595,0.653,0.577,0.664,0.691,0.697,0.643,0.648,0.724,0.769,0.702,0.618,0.616,0.721,0.642,0.776,0.752,0.635,0.626,0.743,0.666,0.673,0.627,0.649,0.638,0.704,0.617,0.632,0.658
Recall,0.711,0.602,0.627,0.602,0.699,0.759,0.663,0.723,0.59,0.585,0.711,0.687,0.639,0.602,0.542,0.651,0.735,0.614,0.651,0.634,0.651,0.663,0.614,0.639,0.723,0.687,0.687,0.578,0.627,0.634,0.675,0.614,0.614,0.614,0.627,0.627,0.699,0.627,0.663,0.756,0.771,0.566,0.687,0.639,0.699,0.699,0.699,0.578,0.675,0.659,0.699,0.699,0.651,0.627,0.639,0.651,0.578,0.711,0.59,0.622,0.59,0.627,0.783,0.639,0.699,0.687,0.578,0.639,0.639,0.695,0.687,0.566,0.627,0.578,0.639,0.675,0.687,0.614,0.651,0.707,0.723,0.663,0.602,0.614,0.699,0.627,0.759,0.735,0.627,0.61,0.735,0.651,0.663,0.602,0.639,0.627,0.699,0.627,0.627,0.622
F1,0.706,0.605,0.619,0.604,0.694,0.754,0.654,0.714,0.572,0.572,0.703,0.683,0.627,0.596,0.52,0.648,0.734,0.607,0.644,0.621,0.644,0.654,0.604,0.633,0.721,0.676,0.681,0.578,0.621,0.625,0.667,0.609,0.612,0.609,0.612,0.625,0.691,0.606,0.66,0.754,0.769,0.545,0.678,0.642,0.697,0.697,0.693,0.568,0.666,0.653,0.696,0.698,0.645,0.617,0.643,0.643,0.564,0.709,0.571,0.606,0.592,0.608,0.784,0.624,0.694,0.679,0.546,0.633,0.639,0.695,0.682,0.554,0.626,0.573,0.63,0.673,0.68,0.614,0.641,0.704,0.725,0.649,0.598,0.608,0.697,0.63,0.756,0.732,0.62,0.603,0.732,0.643,0.659,0.591,0.639,0.622,0.695,0.615,0.622,0.602
