,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACC,0.675,0.663,0.675,0.675,0.795,0.699,0.602,0.675,0.663,0.793,0.759,0.651,0.651,0.759,0.651,0.627,0.687,0.687,0.699,0.756,0.771,0.711,0.687,0.699,0.687,0.651,0.699,0.639,0.759,0.646,0.699,0.711,0.675,0.687,0.699,0.747,0.735,0.639,0.711,0.634,0.663,0.723,0.723,0.663,0.723,0.663,0.675,0.711,0.687,0.72,0.663,0.675,0.711,0.651,0.723,0.639,0.675,0.687,0.699,0.683,0.602,0.735,0.711,0.735,0.723,0.699,0.639,0.711,0.699,0.683,0.639,0.711,0.783,0.627,0.627,0.723,0.699,0.771,0.651,0.671,0.747,0.759,0.759,0.723,0.639,0.627,0.711,0.651,0.759,0.646,0.675,0.711,0.687,0.759,0.639,0.699,0.723,0.735,0.759,0.646
MCC,0.521,0.514,0.523,0.531,0.713,0.555,0.432,0.533,0.538,0.695,0.648,0.489,0.509,0.649,0.489,0.49,0.537,0.535,0.574,0.648,0.664,0.581,0.543,0.56,0.539,0.515,0.568,0.487,0.65,0.483,0.555,0.583,0.53,0.551,0.568,0.633,0.612,0.484,0.583,0.481,0.525,0.595,0.611,0.511,0.599,0.497,0.544,0.602,0.535,0.583,0.499,0.523,0.577,0.496,0.613,0.465,0.519,0.563,0.566,0.569,0.427,0.621,0.584,0.626,0.591,0.56,0.468,0.59,0.555,0.551,0.476,0.579,0.692,0.458,0.465,0.602,0.555,0.671,0.485,0.53,0.647,0.653,0.659,0.61,0.469,0.456,0.576,0.491,0.653,0.496,0.531,0.579,0.554,0.656,0.496,0.564,0.596,0.61,0.647,0.489
Precision,0.682,0.678,0.673,0.673,0.799,0.709,0.618,0.661,0.683,0.791,0.771,0.655,0.648,0.766,0.661,0.631,0.696,0.694,0.72,0.756,0.77,0.718,0.691,0.702,0.691,0.66,0.704,0.641,0.765,0.644,0.71,0.719,0.678,0.685,0.696,0.749,0.735,0.65,0.719,0.64,0.66,0.736,0.729,0.668,0.726,0.675,0.678,0.724,0.698,0.751,0.673,0.679,0.719,0.651,0.73,0.639,0.684,0.696,0.7,0.698,0.611,0.735,0.709,0.733,0.729,0.724,0.645,0.71,0.706,0.683,0.636,0.726,0.784,0.64,0.63,0.729,0.719,0.776,0.656,0.674,0.777,0.759,0.765,0.725,0.646,0.631,0.713,0.664,0.76,0.644,0.69,0.706,0.686,0.763,0.647,0.705,0.729,0.752,0.76,0.646
Recall,0.675,0.663,0.675,0.675,0.795,0.699,0.602,0.675,0.663,0.793,0.759,0.651,0.651,0.759,0.651,0.627,0.687,0.687,0.699,0.756,0.771,0.711,0.687,0.699,0.687,0.651,0.699,0.639,0.759,0.646,0.699,0.711,0.675,0.687,0.699,0.747,0.735,0.639,0.711,0.634,0.663,0.723,0.723,0.663,0.723,0.663,0.675,0.711,0.687,0.72,0.663,0.675,0.711,0.651,0.723,0.639,0.675,0.687,0.699,0.683,0.602,0.735,0.711,0.735,0.723,0.699,0.639,0.711,0.699,0.683,0.639,0.711,0.783,0.627,0.627,0.723,0.699,0.771,0.651,0.671,0.747,0.759,0.759,0.723,0.639,0.627,0.711,0.651,0.759,0.646,0.675,0.711,0.687,0.759,0.639,0.699,0.723,0.735,0.759,0.646
F1,0.67,0.658,0.661,0.673,0.793,0.7,0.602,0.661,0.663,0.791,0.757,0.646,0.647,0.758,0.653,0.619,0.686,0.684,0.7,0.75,0.767,0.707,0.687,0.696,0.687,0.645,0.7,0.637,0.76,0.645,0.701,0.712,0.675,0.685,0.697,0.747,0.732,0.641,0.71,0.634,0.658,0.72,0.723,0.663,0.723,0.662,0.671,0.709,0.687,0.714,0.659,0.673,0.709,0.649,0.722,0.634,0.673,0.685,0.698,0.678,0.605,0.735,0.709,0.732,0.721,0.706,0.638,0.708,0.698,0.678,0.637,0.697,0.783,0.629,0.627,0.724,0.701,0.772,0.649,0.668,0.755,0.759,0.759,0.719,0.633,0.627,0.705,0.65,0.76,0.642,0.673,0.704,0.685,0.759,0.635,0.697,0.725,0.738,0.758,0.645
