,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0.923,0.903,0.899,0.932,0.934,0.932,0.922,0.907,0.901,0.906,0.915,0.892,0.959,0.905,0.937,0.927,0.88,0.893,0.901,0.932,0.908,0.943,0.917,0.908,0.928,0.917,0.924,0.886,0.911,0.937,0.9,0.917,0.945,0.943,0.908,0.9,0.916,0.886,0.901,0.926,0.903,0.929,0.905,0.908,0.919,0.912,0.911,0.9,0.919,0.955,0.914,0.918,0.923,0.898,0.895,0.904,0.956,0.907,0.895,0.927,0.913,0.915,0.931,0.928,0.932,0.927,0.895,0.923,0.894,0.895,0.909,0.884,0.931,0.927,0.907,0.927,0.882,0.939,0.921,0.93,0.871,0.915,0.93,0.922,0.9,0.917,0.914,0.913,0.939,0.918,0.944,0.896,0.913,0.936,0.919,0.923,0.921,0.89,0.92,0.897
ACC,0.687,0.675,0.687,0.711,0.711,0.723,0.687,0.639,0.699,0.646,0.723,0.639,0.747,0.639,0.747,0.699,0.687,0.639,0.651,0.707,0.651,0.687,0.699,0.614,0.771,0.747,0.711,0.675,0.663,0.744,0.602,0.687,0.771,0.759,0.627,0.651,0.675,0.651,0.675,0.732,0.627,0.735,0.614,0.639,0.723,0.699,0.663,0.723,0.639,0.768,0.711,0.675,0.699,0.687,0.687,0.687,0.771,0.614,0.639,0.671,0.663,0.663,0.687,0.711,0.759,0.687,0.651,0.735,0.663,0.646,0.711,0.602,0.675,0.699,0.699,0.711,0.651,0.711,0.687,0.695,0.602,0.663,0.747,0.699,0.687,0.687,0.711,0.675,0.723,0.707,0.723,0.711,0.699,0.723,0.723,0.663,0.723,0.614,0.663,0.671
MCC,0.533,0.514,0.543,0.582,0.577,0.598,0.541,0.476,0.561,0.485,0.596,0.488,0.629,0.456,0.634,0.564,0.545,0.473,0.494,0.562,0.506,0.545,0.554,0.432,0.666,0.636,0.581,0.521,0.507,0.634,0.408,0.538,0.669,0.65,0.443,0.483,0.523,0.487,0.522,0.612,0.438,0.621,0.417,0.467,0.595,0.567,0.503,0.6,0.471,0.661,0.58,0.544,0.567,0.536,0.532,0.542,0.671,0.431,0.462,0.509,0.512,0.498,0.555,0.574,0.645,0.544,0.488,0.612,0.501,0.489,0.575,0.419,0.534,0.564,0.555,0.58,0.487,0.584,0.543,0.551,0.407,0.5,0.633,0.569,0.546,0.544,0.58,0.529,0.592,0.569,0.594,0.577,0.572,0.603,0.596,0.503,0.594,0.433,0.498,0.51
Precision,0.728,0.719,0.724,0.705,0.715,0.73,0.709,0.655,0.707,0.678,0.774,0.643,0.79,0.674,0.776,0.71,0.692,0.671,0.631,0.733,0.67,0.745,0.736,0.648,0.793,0.769,0.704,0.707,0.67,0.761,0.652,0.706,0.787,0.778,0.629,0.669,0.687,0.72,0.691,0.78,0.66,0.762,0.644,0.65,0.729,0.711,0.692,0.733,0.668,0.801,0.724,0.724,0.765,0.689,0.703,0.699,0.784,0.662,0.641,0.703,0.683,0.731,0.732,0.741,0.777,0.763,0.652,0.751,0.676,0.65,0.725,0.597,0.68,0.752,0.722,0.743,0.678,0.771,0.709,0.698,0.622,0.669,0.765,0.73,0.736,0.687,0.705,0.714,0.769,0.731,0.755,0.73,0.7,0.754,0.752,0.7,0.747,0.691,0.696,0.668
Recall,0.687,0.675,0.687,0.711,0.711,0.723,0.687,0.639,0.699,0.646,0.723,0.639,0.747,0.639,0.747,0.699,0.687,0.639,0.651,0.707,0.651,0.687,0.699,0.614,0.771,0.747,0.711,0.675,0.663,0.744,0.602,0.687,0.771,0.759,0.627,0.651,0.675,0.651,0.675,0.732,0.627,0.735,0.614,0.639,0.723,0.699,0.663,0.723,0.639,0.768,0.711,0.675,0.699,0.687,0.687,0.687,0.771,0.614,0.639,0.671,0.663,0.663,0.687,0.711,0.759,0.687,0.651,0.735,0.663,0.646,0.711,0.602,0.675,0.699,0.699,0.711,0.651,0.711,0.687,0.695,0.602,0.663,0.747,0.699,0.687,0.687,0.711,0.675,0.723,0.707,0.723,0.711,0.699,0.723,0.723,0.663,0.723,0.614,0.663,0.671
F1,0.682,0.669,0.692,0.696,0.691,0.721,0.681,0.625,0.685,0.625,0.708,0.634,0.747,0.631,0.745,0.69,0.683,0.611,0.631,0.703,0.651,0.651,0.691,0.621,0.764,0.744,0.691,0.67,0.655,0.72,0.6,0.672,0.759,0.752,0.614,0.647,0.674,0.635,0.665,0.709,0.607,0.734,0.609,0.614,0.711,0.701,0.652,0.716,0.639,0.76,0.705,0.671,0.682,0.678,0.682,0.673,0.762,0.615,0.633,0.654,0.653,0.663,0.672,0.703,0.762,0.675,0.635,0.735,0.65,0.635,0.709,0.594,0.668,0.692,0.689,0.697,0.65,0.691,0.678,0.671,0.588,0.66,0.743,0.693,0.688,0.674,0.699,0.677,0.717,0.693,0.711,0.695,0.687,0.716,0.73,0.661,0.722,0.605,0.641,0.662
