,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACC,0.711,0.675,0.663,0.59,0.723,0.663,0.614,0.699,0.651,0.756,0.735,0.639,0.687,0.759,0.639,0.699,0.699,0.651,0.639,0.695,0.735,0.651,0.675,0.627,0.723,0.687,0.723,0.675,0.723,0.695,0.687,0.663,0.759,0.663,0.687,0.699,0.651,0.699,0.747,0.634,0.639,0.687,0.735,0.627,0.735,0.735,0.711,0.723,0.711,0.659,0.675,0.711,0.711,0.639,0.723,0.663,0.602,0.759,0.711,0.646,0.614,0.747,0.735,0.711,0.723,0.639,0.699,0.651,0.651,0.646,0.735,0.699,0.723,0.675,0.639,0.783,0.663,0.759,0.663,0.683,0.747,0.687,0.723,0.723,0.663,0.723,0.651,0.699,0.735,0.634,0.651,0.711,0.699,0.651,0.663,0.699,0.675,0.747,0.723,0.683
MCC,0.589,0.531,0.51,0.415,0.594,0.501,0.454,0.576,0.525,0.642,0.615,0.472,0.559,0.652,0.485,0.583,0.565,0.483,0.491,0.571,0.613,0.495,0.528,0.461,0.599,0.559,0.616,0.541,0.6,0.566,0.545,0.514,0.657,0.511,0.554,0.564,0.502,0.576,0.648,0.472,0.503,0.55,0.624,0.463,0.616,0.608,0.593,0.611,0.574,0.497,0.528,0.589,0.589,0.476,0.626,0.506,0.413,0.655,0.589,0.497,0.438,0.639,0.615,0.592,0.599,0.483,0.554,0.497,0.487,0.514,0.618,0.572,0.605,0.527,0.469,0.699,0.522,0.664,0.506,0.552,0.647,0.551,0.596,0.607,0.509,0.601,0.497,0.569,0.609,0.481,0.509,0.587,0.581,0.501,0.517,0.569,0.533,0.629,0.598,0.535
Precision,0.712,0.693,0.658,0.592,0.721,0.678,0.642,0.7,0.674,0.763,0.738,0.644,0.688,0.776,0.637,0.696,0.692,0.695,0.671,0.705,0.736,0.654,0.685,0.632,0.724,0.705,0.756,0.673,0.732,0.696,0.691,0.665,0.766,0.666,0.685,0.701,0.649,0.708,0.753,0.633,0.639,0.692,0.738,0.629,0.74,0.753,0.716,0.739,0.713,0.684,0.691,0.713,0.722,0.638,0.74,0.668,0.598,0.763,0.719,0.635,0.624,0.747,0.743,0.709,0.722,0.642,0.706,0.65,0.66,0.671,0.742,0.712,0.72,0.696,0.629,0.794,0.673,0.77,0.664,0.696,0.755,0.686,0.737,0.732,0.667,0.724,0.658,0.724,0.755,0.64,0.659,0.705,0.692,0.667,0.676,0.7,0.676,0.752,0.724,0.686
Recall,0.711,0.675,0.663,0.59,0.723,0.663,0.614,0.699,0.651,0.756,0.735,0.639,0.687,0.759,0.639,0.699,0.699,0.651,0.639,0.695,0.735,0.651,0.675,0.627,0.723,0.687,0.723,0.675,0.723,0.695,0.687,0.663,0.759,0.663,0.687,0.699,0.651,0.699,0.747,0.634,0.639,0.687,0.735,0.627,0.735,0.735,0.711,0.723,0.711,0.659,0.675,0.711,0.711,0.639,0.723,0.663,0.602,0.759,0.711,0.646,0.614,0.747,0.735,0.711,0.723,0.639,0.699,0.651,0.651,0.646,0.735,0.699,0.723,0.675,0.639,0.783,0.663,0.759,0.663,0.683,0.747,0.687,0.723,0.723,0.663,0.723,0.651,0.699,0.735,0.634,0.651,0.711,0.699,0.651,0.663,0.699,0.675,0.747,0.723,0.683
F1,0.71,0.669,0.648,0.589,0.721,0.665,0.614,0.693,0.648,0.756,0.728,0.638,0.686,0.751,0.635,0.69,0.692,0.648,0.641,0.689,0.726,0.648,0.678,0.626,0.723,0.687,0.722,0.67,0.726,0.694,0.68,0.66,0.752,0.662,0.684,0.697,0.647,0.699,0.745,0.631,0.63,0.685,0.736,0.627,0.733,0.731,0.709,0.725,0.706,0.646,0.672,0.709,0.714,0.634,0.72,0.658,0.597,0.758,0.71,0.629,0.613,0.746,0.735,0.708,0.721,0.639,0.699,0.648,0.651,0.646,0.73,0.697,0.72,0.677,0.631,0.783,0.664,0.76,0.65,0.682,0.746,0.686,0.725,0.721,0.651,0.722,0.644,0.701,0.734,0.633,0.646,0.704,0.689,0.65,0.662,0.696,0.674,0.748,0.721,0.682
