,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACC,0.627,0.554,0.627,0.663,0.687,0.614,0.675,0.578,0.602,0.537,0.59,0.59,0.627,0.602,0.566,0.663,0.578,0.602,0.602,0.646,0.554,0.602,0.627,0.651,0.675,0.494,0.687,0.675,0.602,0.622,0.651,0.639,0.602,0.59,0.651,0.59,0.687,0.566,0.602,0.61,0.711,0.59,0.53,0.639,0.566,0.614,0.578,0.578,0.723,0.634,0.59,0.687,0.59,0.651,0.651,0.602,0.639,0.482,0.554,0.695,0.651,0.542,0.711,0.602,0.542,0.602,0.602,0.59,0.59,0.598,0.602,0.602,0.602,0.518,0.614,0.651,0.627,0.687,0.59,0.573,0.651,0.711,0.59,0.639,0.639,0.494,0.639,0.602,0.53,0.646,0.675,0.614,0.627,0.663,0.602,0.627,0.627,0.602,0.651,0.622
MCC,0.461,0.337,0.45,0.506,0.55,0.441,0.538,0.381,0.421,0.305,0.393,0.397,0.462,0.433,0.351,0.508,0.403,0.417,0.443,0.481,0.366,0.407,0.482,0.506,0.515,0.254,0.539,0.521,0.419,0.446,0.489,0.456,0.409,0.385,0.482,0.389,0.54,0.373,0.426,0.432,0.584,0.397,0.297,0.464,0.388,0.415,0.399,0.37,0.598,0.474,0.389,0.552,0.38,0.491,0.476,0.421,0.468,0.236,0.335,0.57,0.486,0.336,0.58,0.422,0.334,0.403,0.419,0.406,0.409,0.416,0.442,0.413,0.411,0.301,0.433,0.476,0.452,0.54,0.426,0.385,0.518,0.596,0.417,0.458,0.478,0.23,0.477,0.421,0.318,0.504,0.519,0.419,0.451,0.517,0.411,0.451,0.454,0.426,0.485,0.449
Precision,0.646,0.56,0.611,0.675,0.687,0.612,0.681,0.589,0.619,0.547,0.599,0.579,0.643,0.611,0.567,0.673,0.583,0.609,0.608,0.654,0.557,0.619,0.647,0.655,0.682,0.477,0.689,0.693,0.621,0.655,0.648,0.641,0.604,0.608,0.653,0.594,0.69,0.568,0.603,0.625,0.726,0.585,0.528,0.644,0.569,0.625,0.588,0.598,0.726,0.63,0.592,0.686,0.622,0.649,0.656,0.586,0.654,0.481,0.572,0.696,0.651,0.549,0.732,0.606,0.538,0.601,0.599,0.59,0.618,0.6,0.617,0.604,0.605,0.531,0.629,0.672,0.632,0.696,0.599,0.585,0.658,0.724,0.613,0.642,0.639,0.488,0.635,0.6,0.531,0.675,0.676,0.619,0.635,0.663,0.596,0.621,0.632,0.604,0.665,0.611
Recall,0.627,0.554,0.627,0.663,0.687,0.614,0.675,0.578,0.602,0.537,0.59,0.59,0.627,0.602,0.566,0.663,0.578,0.602,0.602,0.646,0.554,0.602,0.627,0.651,0.675,0.494,0.687,0.675,0.602,0.622,0.651,0.639,0.602,0.59,0.651,0.59,0.687,0.566,0.602,0.61,0.711,0.59,0.53,0.639,0.566,0.614,0.578,0.578,0.723,0.634,0.59,0.687,0.59,0.651,0.651,0.602,0.639,0.482,0.554,0.695,0.651,0.542,0.711,0.602,0.542,0.602,0.602,0.59,0.59,0.598,0.602,0.602,0.602,0.518,0.614,0.651,0.627,0.687,0.59,0.573,0.651,0.711,0.59,0.639,0.639,0.494,0.639,0.602,0.53,0.646,0.675,0.614,0.627,0.663,0.602,0.627,0.627,0.602,0.651,0.622
F1,0.631,0.529,0.611,0.661,0.676,0.607,0.676,0.574,0.603,0.532,0.591,0.581,0.629,0.604,0.561,0.665,0.579,0.602,0.603,0.645,0.547,0.602,0.628,0.648,0.665,0.483,0.687,0.668,0.594,0.628,0.643,0.618,0.598,0.585,0.648,0.588,0.685,0.562,0.601,0.61,0.713,0.58,0.524,0.624,0.565,0.597,0.581,0.575,0.721,0.631,0.584,0.686,0.56,0.647,0.641,0.591,0.642,0.477,0.553,0.694,0.643,0.535,0.715,0.6,0.539,0.595,0.596,0.589,0.593,0.592,0.604,0.599,0.599,0.522,0.617,0.648,0.628,0.684,0.591,0.577,0.647,0.713,0.598,0.63,0.637,0.477,0.633,0.599,0.529,0.651,0.671,0.598,0.627,0.662,0.595,0.622,0.628,0.601,0.651,0.611
