,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACC,0.675,0.59,0.614,0.614,0.687,0.699,0.723,0.663,0.578,0.537,0.723,0.723,0.639,0.602,0.53,0.663,0.747,0.651,0.614,0.622,0.675,0.602,0.602,0.663,0.723,0.663,0.663,0.578,0.663,0.61,0.699,0.639,0.663,0.639,0.627,0.59,0.711,0.59,0.663,0.695,0.747,0.639,0.639,0.651,0.699,0.639,0.723,0.554,0.651,0.671,0.711,0.687,0.614,0.59,0.614,0.663,0.614,0.687,0.59,0.659,0.639,0.578,0.771,0.627,0.663,0.687,0.602,0.614,0.639,0.598,0.675,0.554,0.602,0.542,0.627,0.651,0.627,0.639,0.614,0.72,0.687,0.639,0.578,0.542,0.651,0.639,0.771,0.699,0.614,0.622,0.735,0.59,0.675,0.627,0.602,0.663,0.675,0.627,0.59,0.671
MCC,0.557,0.437,0.482,0.475,0.546,0.598,0.632,0.577,0.428,0.413,0.626,0.61,0.512,0.467,0.386,0.522,0.642,0.53,0.476,0.509,0.571,0.457,0.465,0.546,0.62,0.521,0.547,0.434,0.56,0.473,0.589,0.505,0.553,0.501,0.496,0.439,0.596,0.518,0.548,0.562,0.656,0.506,0.529,0.528,0.589,0.494,0.635,0.409,0.506,0.527,0.597,0.571,0.47,0.461,0.474,0.551,0.454,0.59,0.442,0.53,0.497,0.486,0.68,0.461,0.543,0.6,0.451,0.484,0.475,0.483,0.556,0.441,0.449,0.378,0.499,0.531,0.485,0.497,0.476,0.608,0.568,0.524,0.413,0.371,0.536,0.496,0.694,0.584,0.479,0.476,0.629,0.48,0.562,0.519,0.442,0.528,0.545,0.479,0.415,0.581
Precision,0.693,0.629,0.641,0.648,0.682,0.723,0.736,0.698,0.584,0.552,0.737,0.731,0.659,0.616,0.54,0.665,0.753,0.674,0.618,0.636,0.719,0.619,0.614,0.683,0.744,0.661,0.68,0.594,0.695,0.617,0.708,0.646,0.694,0.647,0.638,0.599,0.711,0.705,0.686,0.695,0.767,0.648,0.709,0.699,0.731,0.635,0.748,0.564,0.658,0.671,0.717,0.708,0.631,0.605,0.625,0.674,0.608,0.735,0.597,0.673,0.641,0.644,0.787,0.632,0.662,0.73,0.585,0.643,0.642,0.642,0.68,0.614,0.62,0.547,0.646,0.68,0.633,0.657,0.619,0.747,0.702,0.665,0.577,0.55,0.676,0.65,0.788,0.712,0.629,0.638,0.739,0.638,0.692,0.667,0.617,0.671,0.678,0.621,0.589,0.708
Recall,0.675,0.59,0.614,0.614,0.687,0.699,0.723,0.663,0.578,0.537,0.723,0.723,0.639,0.602,0.53,0.663,0.747,0.651,0.614,0.622,0.675,0.602,0.602,0.663,0.723,0.663,0.663,0.578,0.663,0.61,0.699,0.639,0.663,0.639,0.627,0.59,0.711,0.59,0.663,0.695,0.747,0.639,0.639,0.651,0.699,0.639,0.723,0.554,0.651,0.671,0.711,0.687,0.614,0.59,0.614,0.663,0.614,0.687,0.59,0.659,0.639,0.578,0.771,0.627,0.663,0.687,0.602,0.614,0.639,0.598,0.675,0.554,0.602,0.542,0.627,0.651,0.627,0.639,0.614,0.72,0.687,0.639,0.578,0.542,0.651,0.639,0.771,0.699,0.614,0.622,0.735,0.59,0.675,0.627,0.602,0.663,0.675,0.627,0.59,0.671
F1,0.673,0.596,0.612,0.615,0.683,0.696,0.714,0.641,0.564,0.503,0.718,0.724,0.633,0.591,0.508,0.661,0.748,0.641,0.605,0.601,0.673,0.601,0.594,0.656,0.72,0.656,0.653,0.571,0.653,0.599,0.693,0.629,0.659,0.633,0.614,0.587,0.706,0.551,0.658,0.693,0.746,0.632,0.642,0.658,0.701,0.634,0.717,0.54,0.65,0.667,0.707,0.687,0.614,0.575,0.61,0.653,0.606,0.687,0.58,0.655,0.634,0.545,0.772,0.622,0.65,0.676,0.582,0.614,0.637,0.583,0.666,0.537,0.604,0.534,0.618,0.648,0.623,0.636,0.604,0.716,0.687,0.626,0.57,0.532,0.645,0.64,0.767,0.697,0.606,0.618,0.732,0.57,0.667,0.615,0.604,0.658,0.672,0.617,0.588,0.653
