,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACC,0.614,0.627,0.663,0.651,0.614,0.566,0.627,0.639,0.602,0.561,0.663,0.651,0.675,0.602,0.723,0.602,0.59,0.578,0.578,0.561,0.687,0.639,0.59,0.542,0.639,0.602,0.614,0.627,0.59,0.598,0.542,0.59,0.651,0.566,0.542,0.53,0.59,0.506,0.639,0.598,0.53,0.554,0.663,0.614,0.627,0.554,0.602,0.578,0.578,0.671,0.614,0.602,0.566,0.639,0.578,0.566,0.699,0.518,0.554,0.622,0.627,0.675,0.602,0.542,0.614,0.663,0.578,0.627,0.663,0.646,0.566,0.614,0.554,0.614,0.675,0.663,0.639,0.578,0.566,0.646,0.566,0.59,0.614,0.687,0.59,0.614,0.639,0.554,0.602,0.61,0.602,0.663,0.723,0.651,0.554,0.542,0.663,0.639,0.554,0.573
MCC,0.414,0.437,0.5,0.475,0.429,0.342,0.444,0.471,0.418,0.325,0.497,0.476,0.518,0.394,0.591,0.418,0.394,0.366,0.353,0.317,0.539,0.459,0.376,0.321,0.465,0.405,0.424,0.446,0.388,0.391,0.301,0.384,0.485,0.346,0.296,0.284,0.385,0.241,0.459,0.402,0.287,0.322,0.494,0.422,0.443,0.336,0.406,0.367,0.371,0.509,0.425,0.4,0.343,0.459,0.356,0.35,0.557,0.284,0.323,0.438,0.44,0.514,0.399,0.296,0.417,0.502,0.369,0.447,0.495,0.471,0.342,0.421,0.318,0.415,0.515,0.504,0.463,0.377,0.35,0.473,0.336,0.378,0.416,0.534,0.411,0.431,0.464,0.348,0.393,0.404,0.397,0.497,0.589,0.483,0.338,0.304,0.505,0.467,0.308,0.342
Precision,0.639,0.65,0.713,0.644,0.616,0.614,0.651,0.649,0.602,0.571,0.663,0.66,0.716,0.627,0.732,0.611,0.579,0.602,0.611,0.585,0.699,0.663,0.602,0.548,0.635,0.62,0.645,0.641,0.582,0.586,0.566,0.598,0.65,0.572,0.569,0.552,0.608,0.491,0.64,0.584,0.521,0.577,0.687,0.626,0.645,0.57,0.621,0.579,0.583,0.696,0.614,0.613,0.577,0.652,0.583,0.576,0.72,0.547,0.55,0.617,0.653,0.696,0.614,0.563,0.657,0.679,0.63,0.666,0.677,0.652,0.577,0.621,0.588,0.651,0.7,0.664,0.658,0.582,0.581,0.661,0.589,0.594,0.667,0.71,0.582,0.617,0.648,0.565,0.674,0.661,0.622,0.677,0.73,0.656,0.555,0.569,0.67,0.647,0.564,0.584
Recall,0.614,0.627,0.663,0.651,0.614,0.566,0.627,0.639,0.602,0.561,0.663,0.651,0.675,0.602,0.723,0.602,0.59,0.578,0.578,0.561,0.687,0.639,0.59,0.542,0.639,0.602,0.614,0.627,0.59,0.598,0.542,0.59,0.651,0.566,0.542,0.53,0.59,0.506,0.639,0.598,0.53,0.554,0.663,0.614,0.627,0.554,0.602,0.578,0.578,0.671,0.614,0.602,0.566,0.639,0.578,0.566,0.699,0.518,0.554,0.622,0.627,0.675,0.602,0.542,0.614,0.663,0.578,0.627,0.663,0.646,0.566,0.614,0.554,0.614,0.675,0.663,0.639,0.578,0.566,0.646,0.566,0.59,0.614,0.687,0.59,0.614,0.639,0.554,0.602,0.61,0.602,0.663,0.723,0.651,0.554,0.542,0.663,0.639,0.554,0.573
F1,0.599,0.622,0.65,0.629,0.608,0.552,0.617,0.636,0.598,0.542,0.656,0.641,0.656,0.584,0.721,0.601,0.57,0.567,0.566,0.541,0.682,0.63,0.576,0.538,0.617,0.585,0.61,0.619,0.578,0.573,0.522,0.585,0.644,0.558,0.528,0.508,0.573,0.471,0.63,0.572,0.512,0.548,0.657,0.611,0.626,0.553,0.588,0.565,0.571,0.648,0.607,0.587,0.559,0.629,0.559,0.558,0.695,0.511,0.537,0.616,0.623,0.661,0.595,0.526,0.61,0.65,0.555,0.628,0.651,0.638,0.556,0.609,0.531,0.6,0.657,0.658,0.635,0.572,0.561,0.631,0.546,0.576,0.597,0.679,0.572,0.609,0.627,0.555,0.584,0.593,0.595,0.647,0.721,0.649,0.55,0.523,0.662,0.628,0.525,0.558
