,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_0_CV_5,Run_0_CV_6,Run_0_CV_7,Run_0_CV_8,Run_0_CV_9,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_1_CV_5,Run_1_CV_6,Run_1_CV_7,Run_1_CV_8,Run_1_CV_9,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_2_CV_5,Run_2_CV_6,Run_2_CV_7,Run_2_CV_8,Run_2_CV_9,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_3_CV_5,Run_3_CV_6,Run_3_CV_7,Run_3_CV_8,Run_3_CV_9,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4,Run_4_CV_5,Run_4_CV_6,Run_4_CV_7,Run_4_CV_8,Run_4_CV_9,Run_5_CV_0,Run_5_CV_1,Run_5_CV_2,Run_5_CV_3,Run_5_CV_4,Run_5_CV_5,Run_5_CV_6,Run_5_CV_7,Run_5_CV_8,Run_5_CV_9,Run_6_CV_0,Run_6_CV_1,Run_6_CV_2,Run_6_CV_3,Run_6_CV_4,Run_6_CV_5,Run_6_CV_6,Run_6_CV_7,Run_6_CV_8,Run_6_CV_9,Run_7_CV_0,Run_7_CV_1,Run_7_CV_2,Run_7_CV_3,Run_7_CV_4,Run_7_CV_5,Run_7_CV_6,Run_7_CV_7,Run_7_CV_8,Run_7_CV_9,Run_8_CV_0,Run_8_CV_1,Run_8_CV_2,Run_8_CV_3,Run_8_CV_4,Run_8_CV_5,Run_8_CV_6,Run_8_CV_7,Run_8_CV_8,Run_8_CV_9,Run_9_CV_0,Run_9_CV_1,Run_9_CV_2,Run_9_CV_3,Run_9_CV_4,Run_9_CV_5,Run_9_CV_6,Run_9_CV_7,Run_9_CV_8,Run_9_CV_9
AUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACC,0.639,0.602,0.542,0.627,0.699,0.663,0.699,0.639,0.59,0.598,0.639,0.639,0.566,0.687,0.566,0.687,0.566,0.566,0.663,0.537,0.627,0.723,0.614,0.59,0.687,0.554,0.542,0.723,0.542,0.646,0.723,0.675,0.614,0.566,0.687,0.639,0.554,0.554,0.494,0.61,0.614,0.639,0.542,0.602,0.578,0.53,0.687,0.578,0.699,0.634,0.735,0.627,0.627,0.699,0.47,0.602,0.578,0.518,0.687,0.61,0.614,0.627,0.651,0.578,0.627,0.711,0.602,0.651,0.59,0.646,0.651,0.59,0.542,0.59,0.675,0.687,0.59,0.663,0.614,0.622,0.651,0.651,0.663,0.627,0.554,0.566,0.639,0.663,0.554,0.695,0.614,0.614,0.554,0.602,0.602,0.614,0.675,0.675,0.566,0.585
MCC,0.465,0.432,0.314,0.439,0.562,0.495,0.551,0.463,0.397,0.396,0.467,0.464,0.361,0.535,0.374,0.541,0.401,0.357,0.513,0.301,0.447,0.588,0.451,0.408,0.542,0.328,0.296,0.598,0.335,0.482,0.597,0.515,0.422,0.362,0.545,0.486,0.322,0.356,0.233,0.414,0.431,0.468,0.375,0.406,0.38,0.276,0.537,0.383,0.562,0.463,0.61,0.462,0.434,0.564,0.196,0.4,0.353,0.274,0.545,0.44,0.441,0.465,0.481,0.369,0.446,0.575,0.416,0.485,0.39,0.49,0.513,0.402,0.316,0.402,0.521,0.545,0.413,0.501,0.429,0.432,0.499,0.5,0.499,0.444,0.331,0.351,0.46,0.511,0.341,0.551,0.421,0.427,0.348,0.401,0.411,0.453,0.535,0.523,0.347,0.381
Precision,0.66,0.641,0.547,0.661,0.693,0.672,0.726,0.655,0.6,0.594,0.638,0.638,0.559,0.708,0.567,0.693,0.57,0.6,0.679,0.541,0.64,0.75,0.623,0.587,0.753,0.558,0.54,0.729,0.551,0.674,0.741,0.716,0.618,0.565,0.686,0.641,0.559,0.56,0.498,0.631,0.609,0.646,0.537,0.623,0.589,0.562,0.71,0.57,0.71,0.639,0.772,0.619,0.665,0.721,0.483,0.607,0.606,0.536,0.702,0.61,0.621,0.617,0.665,0.627,0.643,0.718,0.624,0.673,0.65,0.657,0.662,0.612,0.554,0.591,0.682,0.692,0.603,0.683,0.625,0.659,0.654,0.648,0.667,0.643,0.57,0.61,0.687,0.682,0.567,0.696,0.632,0.625,0.558,0.617,0.621,0.629,0.675,0.689,0.607,0.577
Recall,0.639,0.602,0.542,0.627,0.699,0.663,0.699,0.639,0.59,0.598,0.639,0.639,0.566,0.687,0.566,0.687,0.566,0.566,0.663,0.537,0.627,0.723,0.614,0.59,0.687,0.554,0.542,0.723,0.542,0.646,0.723,0.675,0.614,0.566,0.687,0.639,0.554,0.554,0.494,0.61,0.614,0.639,0.542,0.602,0.578,0.53,0.687,0.578,0.699,0.634,0.735,0.627,0.627,0.699,0.47,0.602,0.578,0.518,0.687,0.61,0.614,0.627,0.651,0.578,0.627,0.711,0.602,0.651,0.59,0.646,0.651,0.59,0.542,0.59,0.675,0.687,0.59,0.663,0.614,0.622,0.651,0.651,0.663,0.627,0.554,0.566,0.639,0.663,0.554,0.695,0.614,0.614,0.554,0.602,0.602,0.614,0.675,0.675,0.566,0.585
F1,0.64,0.6,0.525,0.62,0.689,0.657,0.694,0.632,0.591,0.565,0.634,0.633,0.555,0.681,0.566,0.685,0.561,0.569,0.662,0.527,0.62,0.719,0.616,0.586,0.668,0.548,0.513,0.718,0.537,0.64,0.717,0.664,0.606,0.561,0.686,0.637,0.538,0.553,0.48,0.602,0.608,0.632,0.528,0.597,0.582,0.525,0.689,0.566,0.7,0.634,0.731,0.619,0.617,0.689,0.467,0.587,0.552,0.51,0.683,0.609,0.617,0.62,0.65,0.575,0.628,0.708,0.599,0.64,0.559,0.649,0.65,0.59,0.532,0.588,0.674,0.689,0.594,0.658,0.612,0.618,0.651,0.648,0.641,0.613,0.549,0.559,0.628,0.661,0.545,0.69,0.61,0.615,0.555,0.597,0.598,0.615,0.673,0.675,0.557,0.569
